#   Phi[rad]  Energy[keV]            I          Q/I
# I is the mean intensity over the image in units of erg/s/cm^2/sr/keV
   0.0174533      2.23092      2350.35    -0.029946
   0.0174533      2.33715      2260.48   -0.0297715
   0.0174533      2.44844      2155.05   -0.0295743
   0.0174533      2.56502      2048.72    -0.029375
   0.0174533      2.68716      1961.58   -0.0291992
   0.0174533      2.81511      1865.66   -0.0290022
   0.0174533      2.94915      1761.21   -0.0287764
   0.0174533      3.08958       1648.4     -0.02852
   0.0174533      3.23669      1527.82   -0.0282233
   0.0174533      3.39081      1400.42   -0.0278748
   0.0174533      3.55226      1267.52   -0.0274591
   0.0174533      3.72141         1131   -0.0269522
   0.0174533       3.8986      993.182   -0.0263289
   0.0174533      4.08424      857.232   -0.0255519
   0.0174533      4.27871      727.215   -0.0245745
   0.0174533      4.48245      611.707    -0.023397
   0.0174533      4.69588      518.276   -0.0220971
   0.0174533      4.91948      436.764    -0.020583
   0.0174533      5.15372      367.306   -0.0188634
   0.0174533      5.39912      309.705   -0.0169877
   0.0174533      5.65621      263.333   -0.0150588
   0.0174533      5.92553      227.022   -0.0132194
   0.0174533      6.20768      198.926   -0.0115855
   0.0174533      6.50326      176.362    -0.010117
   0.0174533      6.81292       154.17  -0.00830546
   0.0174533      7.13732      132.944  -0.00597419
   0.0174533      7.47717      113.525  -0.00309479
   0.0174533       7.8332       96.216  0.000359098
   0.0174533      8.20619      81.3463   0.00426703
   0.0174533      8.59693      67.9208   0.00889031
   0.0174533      9.00628      57.0675    0.0132362
   0.0174533      9.43512      51.0746    0.0148623
   0.0174533      9.88438       46.434    0.0154202
   0.0174533       10.355      40.7433    0.0172769
   0.0174533      10.8481      35.1674    0.0195824
   0.0174533      11.3646      31.0813    0.0203558
   0.0174533      11.9058      27.0816    0.0212265
   0.0174533      12.4727        23.25    0.0222062
   0.0174533      13.0666      19.6701    0.0232713
   0.0174533      13.6887      16.4343    0.0243037
   0.0174533      14.3405       13.688    0.0248476
   0.0174533      15.0234      11.2518    0.0253203
   0.0174533      15.7387      9.17094     0.025453
   0.0174533      16.4881      7.37917      0.02546
   0.0174533      17.2732      5.83729    0.0254728
   0.0174533      18.0957      4.54081      0.02545
   0.0174533      18.9574      3.49065    0.0250909
   0.0174533        19.86      2.62843    0.0247827
   0.0174533      20.8057      1.93343    0.0246112
   0.0174533      21.7964      1.38447    0.0246916
   0.0174533      22.8342     0.961901    0.0251321
   0.0174533      23.9215      0.65393      0.02548
   0.0174533      25.0605     0.437174    0.0254504
   0.0174533      26.2538     0.284773    0.0254443
   0.0174533      27.5039     0.180505     0.025478
   0.0174533      28.8135     0.113381    0.0246035
   0.0174533      30.1855    0.0671876    0.0250438
   0.0174533      31.6228    0.0385867    0.0254979
#   Phi[rad]  Energy[keV]            I          Q/I
    0.261799     0.316228      1289.74    -0.982908
    0.261799     0.331285      1320.23    -0.983072
    0.261799      0.34706      1342.53    -0.983271
    0.261799     0.363585       1356.4    -0.983496
    0.261799     0.380897      1363.01     -0.98373
    0.261799     0.399034      1355.33    -0.984042
    0.261799     0.418034      1339.72    -0.984353
    0.261799      0.43794      1319.22    -0.984596
    0.261799     0.458792      1293.36    -0.984759
    0.261799     0.480638      1257.49     -0.98481
    0.261799     0.503524      1216.36    -0.984731
    0.261799       0.5275      1160.23    -0.984509
    0.261799     0.552617      1111.31    -0.984044
    0.261799      0.57893      1054.08    -0.983341
    0.261799     0.606496      1028.91    -0.982368
    0.261799     0.635375      979.359    -0.981137
    0.261799     0.665629      987.678    -0.979842
    0.261799     0.697324      974.625    -0.978343
    0.261799     0.730527      1042.91    -0.977488
    0.261799     0.765312      1138.26    -0.977024
    0.261799     0.801753       1296.7     -0.97736
    0.261799     0.839929      1467.37    -0.977959
    0.261799     0.879923      1618.74    -0.978423
    0.261799     0.921821      1763.66     -0.97869
    0.261799     0.965714      1938.46    -0.979013
    0.261799       1.0117      2045.55    -0.979049
    0.261799      1.05987      2158.76    -0.979046
    0.261799      1.11034       2278.6    -0.979041
    0.261799      1.16321       2396.7    -0.979018
    0.261799      1.21859       2502.1    -0.978961
    0.261799      1.27662      2580.77    -0.978848
    0.261799       1.3374      2608.44    -0.978569
    0.261799      1.40109      2615.07    -0.978166
    0.261799       1.4678      2616.91    -0.977711
    0.261799      1.53769      2613.33    -0.977199
    0.261799      1.61091      2603.65     -0.97662
    0.261799      1.68761      2587.14    -0.975963
    0.261799      1.76797      2562.99    -0.975216
    0.261799      1.85215      2530.36    -0.974362
    0.261799      1.94034      2488.31    -0.973382
    0.261799      2.03274      2435.87    -0.972247
    0.261799      2.12953      2371.98    -0.970926
    0.261799      2.23092      2295.53    -0.969371
    0.261799      2.33715      2205.34    -0.967519
    0.261799      2.44844      2100.17    -0.965284
    0.261799      2.56502      1994.68    -0.962696
    0.261799      2.68716      1908.58    -0.959943
    0.261799      2.81511      1814.09    -0.956709
    0.261799      2.94915      1711.37    -0.952878
    0.261799      3.08958      1600.82    -0.948293
    0.261799      3.23669      1482.93    -0.942746
    0.261799      3.39081      1358.57    -0.935949
    0.261799      3.55226      1229.03    -0.927502
    0.261799      3.72141      1096.05    -0.916843
    0.261799       3.8986      961.993    -0.903185
    0.261799      4.08424      829.898    -0.885443
    0.261799      4.27871      703.677    -0.862215
    0.261799      4.48245      591.675    -0.832909
    0.261799      4.69588       501.18    -0.798784
    0.261799      4.91948      422.318     -0.75687
    0.261799      5.15372      355.212    -0.706374
    0.261799      5.39912      299.658    -0.647453
    0.261799      5.65621      255.038    -0.581864
    0.261799      5.92553      220.199    -0.513088
    0.261799      6.20768      193.326    -0.444993
    0.261799      6.50326      171.788    -0.378301
    0.261799      6.81292      150.577    -0.298574
    0.261799      7.13732      130.214    -0.203263
    0.261799      7.47717      111.509   -0.0925052
    0.261799       7.8332      94.7712    0.0338722
    0.261799      8.20619      80.3393     0.171816
    0.261799      8.59693      67.2865     0.333245
    0.261799      9.00628       56.744     0.493732
    0.261799      9.43512      50.8902     0.560453
    0.261799      9.88438      46.3354     0.590598
    0.261799       10.355       40.734     0.661818
    0.261799      10.8481      35.2274     0.746151
    0.261799      11.3646      31.1554     0.774769
    0.261799      11.9058      27.1697     0.808035
    0.261799      12.4727      23.3501     0.846206
    0.261799      13.0666      19.7776     0.888354
    0.261799      13.6887      16.5427     0.929733
    0.261799      14.3405      13.7867     0.951659
    0.261799      15.0234      11.3387     0.970852
    0.261799      15.7387      9.24168     0.977498
    0.261799      16.4881      7.43606     0.977636
    0.261799      17.2732       5.8822     0.977846
    0.261799      18.0957      4.57565      0.97604
    0.261799      18.9574      3.51592     0.961783
    0.261799        19.86      2.64648     0.949732
    0.261799      20.8057      1.94628     0.943074
    0.261799      21.7964      1.39379     0.946342
    0.261799      22.8342     0.968854     0.963781
    0.261799      23.9215      0.65895     0.977977
    0.261799      25.0605      0.44056      0.97749
    0.261799      26.2538     0.286983     0.977389
    0.261799      27.5039     0.181891     0.977941
    0.261799      28.8135      0.11413     0.942961
    0.261799      30.1855    0.0676656     0.960349
    0.261799      31.6228    0.0388815     0.978264
#   Phi[rad]  Energy[keV]            I          Q/I
    0.523599     0.316228       1264.9    -0.996589
    0.523599     0.331285      1293.44    -0.996592
    0.523599      0.34706      1313.19    -0.996599
    0.523599     0.363585      1324.03    -0.996606
    0.523599     0.380897      1327.57    -0.996611
    0.523599     0.399034      1316.28     -0.99662
    0.523599     0.418034      1298.44    -0.996624
    0.523599      0.43794      1277.72    -0.996618
    0.523599     0.458792      1253.86    -0.996598
    0.523599     0.480638      1218.83    -0.996564
    0.523599     0.503524      1183.34    -0.996486
    0.523599       0.5275      1139.52    -0.996355
    0.523599     0.552617      1096.65    -0.996183
    0.523599      0.57893      1043.62    -0.995966
    0.523599     0.606496       1023.5    -0.995682
    0.523599     0.635375      980.318    -0.995306
    0.523599     0.665629      993.612    -0.994903
    0.523599     0.697324      986.336    -0.994377
    0.523599     0.730527      1053.95    -0.994019
    0.523599     0.765312       1144.2    -0.993774
    0.523599     0.801753      1292.77    -0.993788
    0.523599     0.839929      1454.03    -0.993893
    0.523599     0.879923      1601.49    -0.993946
    0.523599     0.921821      1740.04    -0.993915
    0.523599     0.965714      1904.48    -0.993919
    0.523599       1.0117      2005.84    -0.993787
    0.523599      1.05987      2111.56    -0.993636
    0.523599      1.11034      2222.66    -0.993478
    0.523599      1.16321      2330.77      -0.9933
    0.523599      1.21859      2425.02    -0.993086
    0.523599      1.27662      2491.46     -0.99281
    0.523599       1.3374      2511.17    -0.992415
    0.523599      1.40109      2513.79    -0.991935
    0.523599       1.4678      2511.46    -0.991397
    0.523599      1.53769      2503.58    -0.990792
    0.523599      1.61091      2489.51    -0.990111
    0.523599      1.68761      2468.59     -0.98934
    0.523599      1.76797       2440.1    -0.988466
    0.523599      1.85215      2403.27    -0.987469
    0.523599      1.94034       2357.3    -0.986327
    0.523599      2.03274      2301.38    -0.985009
    0.523599      2.12953      2234.64    -0.983478
    0.523599      2.23092      2156.18    -0.981681
    0.523599      2.33715      2065.12    -0.979549
    0.523599      2.44844      1960.55    -0.976985
    0.523599      2.56502      1857.12     -0.97404
    0.523599      2.68716      1773.61    -0.970934
    0.523599      2.81511      1682.68    -0.967288
    0.523599      2.94915      1584.52    -0.962973
    0.523599      3.08958      1479.46    -0.957815
    0.523599      3.23669      1368.08    -0.951577
    0.523599      3.39081      1251.23    -0.943937
    0.523599      3.55226      1130.03    -0.934441
    0.523599      3.72141      1006.09    -0.922455
    0.523599       3.8986      881.546    -0.907087
    0.523599      4.08424      759.208    -0.887104
    0.523599      4.27871      642.657    -0.860915
    0.523599      4.48245      539.577    -0.827855
    0.523599      4.69588       456.53    -0.789344
    0.523599      4.91948      384.403    -0.742072
    0.523599      5.15372       323.29    -0.685261
    0.523599      5.39912      272.982    -0.619326
    0.523599      5.65621      232.876     -0.54663
    0.523599      5.92553      201.851    -0.471501
    0.523599      6.20768      178.161     -0.39853
    0.523599      6.50326      159.307    -0.328511
    0.523599      6.81292      140.658     -0.24585
    0.523599      7.13732      122.542    -0.147579
    0.523599      7.47717      105.702   -0.0339563
    0.523599       7.8332      90.4551    0.0951288
    0.523599      8.20619      77.1714     0.235314
    0.523599      8.59693      65.1171     0.397059
    0.523599      9.00628      55.4205     0.552723
    0.523599      9.43512      49.9655     0.614279
    0.523599      9.88438      45.6529     0.640063
    0.523599       10.355      40.3201     0.706267
    0.523599      10.8481      35.0334     0.785208
    0.523599      11.3646      31.0364     0.811635
    0.523599      11.9058      27.1218     0.842067
    0.523599      12.4727      23.3659     0.876701
    0.523599      13.0666      19.8458     0.914602
    0.523599      13.6887      16.6452     0.951543
    0.523599      14.3405      13.8928      0.97097
    0.523599      15.0234      11.4401     0.988036
    0.523599      15.7387      9.32448     0.994769
    0.523599      16.4881      7.50276     0.994889
    0.523599      17.2732      5.93484     0.995143
    0.523599      18.0957      4.61631     0.993428
    0.523599      18.9574      3.54341     0.981034
    0.523599        19.86      2.66473     0.970569
    0.523599      20.8057      1.95869     0.964806
    0.523599      21.7964      1.40297     0.967719
    0.523599      22.8342     0.976466     0.982991
    0.523599      23.9215     0.664854     0.995256
    0.523599      25.0605     0.444545      0.99459
    0.523599      26.2538     0.289584     0.994452
    0.523599      27.5039     0.183522     0.995208
    0.523599      28.8135     0.114851     0.964812
    0.523599      30.1855    0.0681792     0.980021
    0.523599      31.6228    0.0392277      0.99565
#   Phi[rad]  Energy[keV]            I          Q/I
    0.785398     0.316228      1233.44    -0.998992
    0.785398     0.331285      1259.23    -0.998978
    0.785398      0.34706      1275.62    -0.998961
    0.785398     0.363585      1282.66    -0.998941
    0.785398     0.380897      1282.35    -0.998916
    0.785398     0.399034      1266.54    -0.998885
    0.785398     0.418034      1245.35    -0.998845
    0.785398      0.43794      1223.48    -0.998795
    0.785398     0.458792      1200.49    -0.998732
    0.785398     0.480638      1164.85    -0.998659
    0.785398     0.503524      1137.12    -0.998541
    0.785398       0.5275      1112.47    -0.998361
    0.785398     0.552617      1078.35    -0.998184
    0.785398      0.57893      1030.98    -0.997974
    0.785398     0.606496      1018.07    -0.997754
    0.785398     0.635375       984.44    -0.997464
    0.785398     0.665629      1004.48    -0.997235
    0.785398     0.697324      1003.95    -0.996936
    0.785398     0.730527      1069.26    -0.996772
    0.785398     0.765312      1151.76    -0.996643
    0.785398     0.801753      1287.69    -0.996634
    0.785398     0.839929      1439.41    -0.996644
    0.785398     0.879923       1580.3     -0.99661
    0.785398     0.921821      1709.15    -0.996527
    0.785398     0.965714      1860.81    -0.996463
    0.785398       1.0117      1954.35    -0.996288
    0.785398      1.05987      2050.53    -0.996099
    0.785398      1.11034      2150.45    -0.995899
    0.785398      1.16321      2245.74    -0.995674
    0.785398      1.21859       2325.5    -0.995405
    0.785398      1.27662      2375.85    -0.995065
    0.785398       1.3374      2384.91    -0.994612
    0.785398      1.40109      2382.16    -0.994083
    0.785398       1.4678      2374.19    -0.993488
    0.785398      1.53769      2360.46    -0.992817
    0.785398      1.61091      2340.41    -0.992058
    0.785398      1.68761      2313.43    -0.991196
    0.785398      1.76797      2278.91    -0.990215
    0.785398      1.85215      2236.22    -0.989091
    0.785398      1.94034      2184.74    -0.987796
    0.785398      2.03274      2123.84    -0.986297
    0.785398      2.12953      2052.92    -0.984546
    0.785398      2.23092       1971.4    -0.982483
    0.785398      2.33715      1878.75    -0.980026
    0.785398      2.44844      1774.55    -0.977063
    0.785398      2.56502      1673.48    -0.973662
    0.785398      2.68716      1593.16    -0.970091
    0.785398      2.81511      1506.71    -0.965893
    0.785398      2.94915      1414.32    -0.960914
    0.785398      3.08958      1316.36     -0.95495
    0.785398      3.23669      1213.35    -0.947722
    0.785398      3.39081      1106.09    -0.938848
    0.785398      3.55226      995.664    -0.927797
    0.785398      3.72141      883.527    -0.913818
    0.785398       3.8986      771.573    -0.895855
    0.785398      4.08424      662.248    -0.872443
    0.785398      4.27871      558.673    -0.841685
    0.785398      4.48245      467.501    -0.802748
    0.785398      4.69588      394.433    -0.757321
    0.785398      4.91948      331.388    -0.701585
    0.785398      5.15372       278.43    -0.634879
    0.785398      5.39912      235.323    -0.558211
    0.785398      5.65621      201.449    -0.475122
    0.785398      5.92553      175.718    -0.391517
    0.785398      6.20768      156.481    -0.313232
    0.785398      6.50326      141.396    -0.240935
    0.785398      6.81292      126.323    -0.157114
    0.785398      7.13732      111.351   -0.0580194
    0.785398      7.47717      97.1109    0.0562403
    0.785398       7.8332      83.9427     0.185761
    0.785398      8.20619      72.2679      0.32581
    0.785398      8.59693      61.6034     0.484561
    0.785398      9.00628      53.0837     0.629957
    0.785398      9.43512      48.2445     0.681141
    0.785398      9.88438       44.333      0.69832
    0.785398       10.355      39.4095      0.75555
    0.785398      10.8481       34.459     0.825338
    0.785398      11.3646      30.5947     0.848334
    0.785398      11.9058      26.8111     0.874156
    0.785398      12.4727      23.1781     0.902856
    0.785398      13.0666      19.7651     0.933602
    0.785398      13.6887      16.6443     0.963069
    0.785398      14.3405       13.922     0.978365
    0.785398      15.0234      11.4854     0.991838
    0.785398      15.7387      9.36583     0.997653
    0.785398      16.4881       7.5356     0.997886
    0.785398      17.2732      5.96059     0.998217
    0.785398      18.0957       4.6353     0.996943
    0.785398      18.9574      3.55273     0.987441
    0.785398        19.86      2.66845     0.979368
    0.785398      20.8057      1.96008     0.974925
    0.785398      21.7964      1.40442     0.977214
    0.785398      22.8342     0.979203     0.989068
    0.785398      23.9215     0.667717     0.998394
    0.785398      25.0605     0.446487     0.997604
    0.785398      26.2538     0.290853     0.997441
    0.785398      27.5039     0.184313     0.998337
    0.785398      28.8135      0.11493      0.97498
    0.785398      30.1855    0.0683464      0.98678
    0.785398      31.6228    0.0393952     0.998863
#   Phi[rad]  Energy[keV]            I          Q/I
      1.0472     0.316228      1200.37    -0.999495
      1.0472     0.331285      1223.77    -0.999473
      1.0472      0.34706      1237.49    -0.999447
      1.0472     0.363585       1241.6    -0.999416
      1.0472     0.380897      1238.33    -0.999379
      1.0472     0.399034      1219.09    -0.999332
      1.0472     0.418034      1194.79    -0.999275
      1.0472      0.43794      1171.08    -0.999209
      1.0472     0.458792      1147.68    -0.999131
      1.0472     0.480638      1111.87    -0.999039
      1.0472     0.503524      1089.21    -0.998924
      1.0472       0.5275      1076.21    -0.998777
      1.0472     0.552617       1049.2    -0.998618
      1.0472      0.57893      1008.32    -0.998423
      1.0472     0.606496      1002.78    -0.998238
      1.0472     0.635375      978.885    -0.997995
      1.0472     0.665629      1004.34    -0.997812
      1.0472     0.697324      1009.29    -0.997566
      1.0472     0.730527      1073.76    -0.997427
      1.0472     0.765312      1152.26    -0.997304
      1.0472     0.801753       1279.5    -0.997268
      1.0472     0.839929       1422.7    -0.997241
      1.0472     0.879923      1555.55    -0.997172
      1.0472     0.921821      1674.88    -0.997061
      1.0472     0.965714      1814.62    -0.996965
      1.0472       1.0117      1900.59    -0.996768
      1.0472      1.05987      1988.16    -0.996556
      1.0472      1.11034      2077.91    -0.996329
      1.0472      1.16321      2161.32    -0.996071
      1.0472      1.21859      2227.36    -0.995763
      1.0472      1.27662      2261.97     -0.99537
      1.0472       1.3374      2260.38    -0.994864
      1.0472      1.40109      2252.18    -0.994289
      1.0472       1.4678      2238.47    -0.993638
      1.0472      1.53769      2218.72    -0.992901
      1.0472      1.61091      2192.44    -0.992062
      1.0472      1.68761       2159.1    -0.991105
      1.0472      1.76797       2118.2    -0.990007
      1.0472      1.85215      2069.24    -0.988742
      1.0472      1.94034      2011.77    -0.987276
      1.0472      2.03274      1945.37    -0.985565
