# Energy[keV] nuFnu[keV2/keV/cm2/s] R G B
# 0.000 0.000 0.000
17.12 0.0039511 0.000 0.000 1.000
17.5257 0.00341571 0.000 0.000 1.000
18.0095 0.00364038 0.000 0.000 1.000
18.5268 0.00367366 0.000 0.000 1.000
19.0278 0.00414445 0.000 0.000 1.000
19.5851 0.0037582 0.000 0.000 1.000
20.3129 0.00366531 0.000 0.000 1.000
21.1367 0.00410691 0.000 0.000 1.000
21.8864 0.00481593 0.000 0.000 1.000
22.7493 0.00480498 0.000 0.000 1.000
23.8012 0.00473984 0.000 0.000 1.000
25.0514 0.00459124 0.000 0.000 1.000
26.4679 0.00552032 0.000 0.000 1.000
27.9494 0.00637108 0.000 0.000 1.000
29.5137 0.00581688 0.000 0.000 1.000
31.0809 0.00656233 0.000 0.000 1.000
32.91 0.00792625 0.000 0.000 1.000
35.3822 0.00654741 0.000 0.000 1.000
38.1231 0.00820142 0.000 0.000 1.000
40.7865 0.0105816 0.000 0.000 1.000
43.7788 0.0103436 0.000 0.000 1.000
47.2472 0.0113808 0.000 0.000 1.000
50.9349 0.0117759 0.000 0.000 1.000
54.7612 0.017615 0.000 0.000 1.000
59.1641 0.0149875 0.000 0.000 1.000
64.4103 0.0152281 0.000 0.000 1.000
69.931 0.0270787 0.000 0.000 1.000
76.2149 0.0131646 0.000 0.000 1.000
80 0.0588248 0.000 0.000 1.000
# 0.000 1.000 1.000
0.528561 0.00104161 0.000 1.000 1.000
0.605654 0.0028151 0.000 1.000 1.000
0.658641 0.0040054 0.000 1.000 1.000
0.701974 0.00488212 0.000 1.000 1.000
0.735634 0.0062847 0.000 1.000 1.000
0.764636 0.00803519 0.000 1.000 1.000
0.788745 0.00880074 0.000 1.000 1.000
0.808313 0.011201 0.000 1.000 1.000
0.827466 0.010949 0.000 1.000 1.000
0.846611 0.0113549 0.000 1.000 1.000
0.866199 0.0110743 0.000 1.000 1.000
0.885758 0.0139987 0.000 1.000 1.000
0.904772 0.0140305 0.000 1.000 1.000
0.919175 0.0169467 0.000 1.000 1.000
0.933807 0.0149194 0.000 1.000 1.000
0.948672 0.0178165 0.000 1.000 1.000
0.958018 0.016755 0.000 1.000 1.000
0.967982 0.0189884 0.000 1.000 1.000
0.977518 0.0167169 0.000 1.000 1.000
0.987148 0.0172579 0.000 1.000 1.000
0.996872 0.0210354 0.000 1.000 1.000
1.00669 0.0215685 0.000 1.000 1.000
1.01661 0.0179385 0.000 1.000 1.000
1.02607 0.0219647 0.000 1.000 1.000
1.03561 0.0221151 0.000 1.000 1.000
1.04524 0.0235162 0.000 1.000 1.000
1.05496 0.0235698 0.000 1.000 1.000
1.06478 0.0249492 0.000 1.000 1.000
1.07468 0.0278915 0.000 1.000 1.000
1.08409 0.0240027 0.000 1.000 1.000
1.09417 0.0233032 0.000 1.000 1.000
1.10374 0.0276389 0.000 1.000 1.000
1.1134 0.0289256 0.000 1.000 1.000
1.12315 0.0304795 0.000 1.000 1.000
1.13298 0.0258742 0.000 1.000 1.000
1.14289 0.0295239 0.000 1.000 1.000
1.15227 0.0285334 0.000 1.000 1.000
1.16235 0.0326324 0.000 1.000 1.000
1.17189 0.0297261 0.000 1.000 1.000
1.1815 0.0275761 0.000 1.000 1.000
1.19119 0.033081 0.000 1.000 1.000
1.20096 0.0327068 0.000 1.000 1.000
1.21081 0.0336886 0.000 1.000 1.000
1.22074 0.0327813 0.000 1.000 1.000
1.23009 0.0327813 0.000 1.000 1.000
1.24018 0.0326324 0.000 1.000 1.000
1.24967 0.0342294 0.000 1.000 1.000
1.25923 0.0341516 0.000 1.000 1.000
1.26887 0.0342294 0.000 1.000 1.000
1.27858 0.0338422 0.000 1.000 1.000
1.28837 0.0324843 0.000 1.000 1.000
1.29823 0.0368144 0.000 1.000 1.000
1.30816 0.0349375 0.000 1.000 1.000
1.31818 0.0327068 0.000 1.000 1.000
1.32754 0.0406905 0.000 1.000 1.000
1.3377 0.038616 0.000 1.000 1.000
1.34721 0.0400476 0.000 1.000 1.000
1.35678 0.0341516 0.000 1.000 1.000
1.36642 0.0417217 0.000 1.000 1.000
1.37613 0.0406905 0.000 1.000 1.000
1.3859 0.036564 0.000 1.000 1.000
1.39575 0.0379195 0.000 1.000 1.000
1.40567 0.0335356 0.000 1.000 1.000
1.41566 0.0328559 0.000 1.000 1.000
1.42494 0.0406905 0.000 1.000 1.000
1.43506 0.0385282 0.000 1.000 1.000
1.44447 0.0377473 0.000 1.000 1.000
1.45473 0.036564 0.000 1.000 1.000
1.46427 0.0376616 0.000 1.000 1.000
1.47387 0.0357415 0.000 1.000 1.000
1.48354 0.0407832 0.000 1.000 1.000
1.49326 0.0426818 0.000 1.000 1.000
1.50305 0.0395046 0.000 1.000 1.000
1.51291 0.042488 0.000 1.000 1.000
1.52283 0.0445672 0.000 1.000 1.000
1.53281 0.043664 0.000 1.000 1.000
1.54202 0.042199 0.000 1.000 1.000
1.55213 0.0367307 0.000 1.000 1.000
1.56146 0.0407832 0.000 1.000 1.000
1.5717 0.0359045 0.000 1.000 1.000
1.58114 0.0456967 0.000 1.000 1.000
1.59151 0.0438631 0.000 1.000 1.000
1.60107 0.0369823 0.000 1.000 1.000
1.61069 0.0471756 0.000 1.000 1.000
1.62567 0.0396848 0.000 1.000 1.000
1.6399 0.044466 0.000 1.000 1.000
1.64976 0.0502786 0.000 1.000 1.000
1.65967 0.0423914 0.000 1.000 1.000
1.66964 0.0459051 0.000 1.000 1.000
1.68425 0.0395946 0.000 1.000 1.000
1.70363 0.0400476 0.000 1.000 1.000
1.71854 0.0433669 0.000 1.000 1.000
1.73263 0.0366472 0.000 1.000 1.000
1.7478 0.0487024 0.000 1.000 1.000
1.76213 0.0396848 0.000 1.000 1.000
1.77755 0.0521426 0.000 1.000 1.000
1.79213 0.0422951 0.000 1.000 1.000
1.81176 0.0428764 0.000 1.000 1.000
1.8306 0.0438631 0.000 1.000 1.000
1.85065 0.0461144 0.000 1.000 1.000
1.8699 0.0463247 0.000 1.000 1.000
1.88935 0.0432684 0.000 1.000 1.000
1.909 0.0464302 0.000 1.000 1.000
1.92886 0.044466 0.000 1.000 1.000
1.94892 0.0428764 0.000 1.000 1.000
1.96812 0.043072 0.000 1.000 1.000
1.98751 0.0357415 0.000 1.000 1.000
2.00709 0.0434657 0.000 1.000 1.000
2.02686 0.0407832 0.000 1.000 1.000
2.04683 0.0387039 0.000 1.000 1.000
2.0715 0.0363153 0.000 1.000 1.000
2.09532 0.0418167 0.000 1.000 1.000
2.11597 0.040598 0.000 1.000 1.000
2.1403 0.0355792 0.000 1.000 1.000
2.16964 0.0397752 0.000 1.000 1.000
2.19939 0.0337653 0.000 1.000 1.000
2.22832 0.040876 0.000 1.000 1.000
2.25764 0.0399566 0.000 1.000 1.000
2.28734 0.0409692 0.000 1.000 1.000
2.32249 0.0425848 0.000 1.000 1.000
2.35689 0.0407832 0.000 1.000 1.000
2.3853 0.0415322 0.000 1.000 1.000
2.42063 0.0377473 0.000 1.000 1.000
2.46453 0.0353372 0.000 1.000 1.000
2.51333 0.0327068 0.000 1.000 1.000
2.56309 0.0346999 0.000 1.000 1.000
2.60815 0.036564 0.000 1.000 1.000
2.65689 0.0333075 0.000 1.000 1.000
2.71097 0.03219 0.000 1.000 1.000
2.76465 0.0309688 0.000 1.000 1.000
2.81478 0.0373204 0.000 1.000 1.000
2.86427 0.0269558 0.000 1.000 1.000
2.92257 0.0304102 0.000 1.000 1.000
2.98205 0.0299297 0.000 1.000 1.000
3.06104 0.0244436 0.000 1.000 1.000
3.15583 0.0262298 0.000 1.000 1.000
3.24471 0.0232502 0.000 1.000 1.000
3.33791 0.0212277 0.000 1.000 1.000
3.44691 0.0179794 0.000 1.000 1.000
3.56528 0.0199176 0.000 1.000 1.000
3.69979 0.018268 0.000 1.000 1.000
3.909 0.0127519 0.000 1.000 1.000
4.22559 0.011252 0.000 1.000 1.000
4.65827 0.0103908 0.000 1.000 1.000
5.91316 0.00583013 0.000 1.000 1.000
# 1.000 0.000 1.000
0.5 0.000961887 1.000 0.000 1.000
0.543151 0.0008 1.000 0.000 1.000
0.586503 0.0015581 1.000 0.000 1.000
0.620005 0.00235735 1.000 0.000 1.000
0.644097 0.0032342 1.000 0.000 1.000
0.66332 0.00374114 1.000 0.000 1.000
0.682745 0.00346266 1.000 0.000 1.000
0.701974 0.00428833 1.000 0.000 1.000
0.721352 0.00507464 1.000 0.000 1.000
0.740458 0.00562172 1.000 0.000 1.000
0.759655 0.00610154 1.000 0.000 1.000
0.774274 0.00748801 1.000 0.000 1.000
0.784034 0.00773035 1.000 0.000 1.000
0.793484 0.00781879 1.000 0.000 1.000
0.803485 0.00812712 1.000 0.000 1.000
0.81317 0.00839015 1.000 0.000 1.000
0.822523 0.00794431 1.000 0.000 1.000
0.832438 0.00831414 1.000 0.000 1.000
0.842013 0.00963923 1.000 0.000 1.000
0.851698 0.00918952 1.000 0.000 1.000
0.861494 0.00988351 1.000 0.000 1.000
0.870929 0.0101802 1.000 0.000 1.000
0.880467 0.00997386 1.000 0.000 1.000
0.890595 0.0111501 1.000 0.000 1.000
0.899858 0.0113291 1.000 0.000 1.000
0.909713 0.0127229 1.000 0.000 1.000
0.919175 0.0107515 1.000 0.000 1.000
0.929241 0.0129566 1.000 0.000 1.000
0.938907 0.014617 1.000 0.000 1.000
0.948672 0.0139351 1.000 0.000 1.000
0.958018 0.0146503 1.000 0.000 1.000
0.967982 0.0168697 1.000 0.000 1.000
0.977518 0.0154725 1.000 0.000 1.000
0.987148 0.0157926 1.000 0.000 1.000
0.996872 0.0163781 1.000 0.000 1.000
1.00669 0.0178571 1.000 0.000 1.000
1.01661 0.0168314 1.000 0.000 1.000
1.02607 0.020376 1.000 0.000 1.000
1.03561 0.0191184 1.000 0.000 1.000
1.04524 0.0189452 1.000 0.000 1.000
1.05496 0.0209399 1.000 0.000 1.000
1.06478 0.0206091 1.000 0.000 1.000
1.07468 0.021865 1.000 0.000 1.000
1.08409 0.0212761 1.000 0.000 1.000
1.09417 0.0243326 1.000 0.000 1.000
1.10374 0.0240027 1.000 0.000 1.000
1.1134 0.0223173 1.000 0.000 1.000
1.12315 0.0261702 1.000 0.000 1.000
1.13298 0.025063 1.000 0.000 1.000
1.14289 0.0278282 1.000 0.000 1.000
1.15227 0.0269558 1.000 0.000 1.000
1.16235 0.0267724 1.000 0.000 1.000
1.17189 0.0268334 1.000 0.000 1.000
1.1815 0.0284038 1.000 0.000 1.000
1.19119 0.0306882 1.000 0.000 1.000
1.20096 0.0262895 1.000 0.000 1.000
1.21081 0.0293899 1.000 0.000 1.000
1.22074 0.0291237 1.000 0.000 1.000
1.23009 0.0289256 1.000 0.000 1.000
1.24018 0.02919 1.000 0.000 1.000
1.24967 0.0339966 1.000 0.000 1.000
1.25923 0.0329308 1.000 0.000 1.000
1.26887 0.0336886 1.000 0.000 1.000
1.27858 0.0336886 1.000 0.000 1.000
1.28837 0.0328559 1.000 0.000 1.000
1.29823 0.0326324 1.000 0.000 1.000
1.30816 0.0315376 1.000 0.000 1.000
1.31818 0.0366472 1.000 0.000 1.000
1.32754 0.0355792 1.000 0.000 1.000
1.3377 0.034074 1.000 0.000 1.000
1.34721 0.0360682 1.000 0.000 1.000
1.35678 0.0361504 1.000 0.000 1.000
1.36642 0.0338422 1.000 0.000 1.000
1.37613 0.0350968 1.000 0.000 1.000
1.3859 0.0383533 1.000 0.000 1.000
1.39575 0.0355792 1.000 0.000 1.000
1.40567 0.0373204 1.000 0.000 1.000
1.41566 0.0390578 1.000 0.000 1.000
1.42494 0.0385282 1.000 0.000 1.000
1.43506 0.0379195 1.000 0.000 1.000
1.44447 0.0344638 1.000 0.000 1.000
1.45473 0.0398658 1.000 0.000 1.000
1.46427 0.0370665 1.000 0.000 1.000
1.47387 0.038969 1.000 0.000 1.000
1.48354 0.0416268 1.000 0.000 1.000
1.49326 0.0414379 1.000 0.000 1.000
1.50305 0.0367307 1.000 0.000 1.000
1.51291 0.0381792 1.000 0.000 1.000
1.52283 0.0404137 1.000 0.000 1.000
1.53281 0.0390578 1.000 0.000 1.000
1.54202 0.0421031 1.000 0.000 1.000
1.55213 0.0416268 1.000 0.000 1.000
1.56146 0.0412497 1.000 0.000 1.000
1.5717 0.0429741 1.000 0.000 1.000
1.58114 0.043963 1.000 0.000 1.000
1.59151 0.043664 1.000 0.000 1.000
1.60107 0.043963 1.000 0.000 1.000
1.61069 0.0453858 1.000 0.000 1.000
1.62037 0.0467482 1.000 0.000 1.000
1.63011 0.0421031 1.000 0.000 1.000
1.6399 0.042488 1.000 0.000 1.000
1.64976 0.043072 1.000 0.000 1.000
1.65967 0.0412497 1.000 0.000 1.000
1.66964 0.0435647 1.000 0.000 1.000
1.67876 0.0407832 1.000 0.000 1.000
1.68885 0.0380059 1.000 0.000 1.000
1.69899 0.0420074 1.000 0.000 1.000
1.70827 0.043664 1.000 0.000 1.000
1.71854 0.0420074 1.000 0.000 1.000
1.72792 0.0388805 1.000 0.000 1.000
1.7383 0.0445672 1.000 0.000 1.000
1.7478 0.042488 1.000 0.000 1.000
1.75734 0.0438631 1.000 0.000 1.000
1.76694 0.044466 1.000 0.000 1.000
1.77755 0.0453858 1.000 0.000 1.000
1.78726 0.0406905 1.000 0.000 1.000
1.79702 0.043072 1.000 0.000 1.000
1.80683 0.0461144 1.000 0.000 1.000
1.8167 0.0420074 1.000 0.000 1.000
1.82563 0.0445672 1.000 0.000 1.000
1.8356 0.043664 1.000 0.000 1.000
1.84562 0.0476069 1.000 0.000 1.000
1.8557 0.0480421 1.000 0.000 1.000
1.86482 0.042488 1.000 0.000 1.000
1.875 0.0387039 1.000 0.000 1.000
1.88524 0.0429741 1.000 0.000 1.000
1.8945 0.0447705 1.000 0.000 1.000
1.90485 0.043072 1.000 0.000 1.000
1.91421 0.0435647 1.000 0.000 1.000
1.92361 0.038616 1.000 0.000 1.000
1.93412 0.042488 1.000 0.000 1.000
1.94362 0.0401388 1.000 0.000 1.000
1.95317 0.0459051 1.000 0.000 1.000
1.96384 0.043664 1.000 0.000 1.000
1.97349 0.0459051 1.000 0.000 1.000
1.98318 0.0404137 1.000 0.000 1.000
1.99293 0.0472831 1.000 0.000 1.000
2.00272 0.0443649 1.000 0.000 1.000
2.01256 0.0433669 1.000 0.000 1.000
2.02245 0.0401388 1.000 0.000 1.000
2.03239 0.0460096 1.000 0.000 1.000
2.04237 0.040876 1.000 0.000 1.000
2.05129 0.0373204 1.000 0.000 1.000
2.06137 0.043072 1.000 0.000 1.000
2.0715 0.0423914 1.000 0.000 1.000
2.08054 0.0410625 1.000 0.000 1.000
2.09077 0.0385282 1.000 0.000 1.000
2.10104 0.0339966 1.000 0.000 1.000
2.11021 0.0415322 1.000 0.000 1.000
2.12058 0.038616 1.000 0.000 1.000
2.12984 0.042488 1.000 0.000 1.000
2.1403 0.0421031 1.000 0.000 1.000
2.14965 0.037576 1.000 0.000 1.000
2.16021 0.046536 1.000 0.000 1.000
2.16964 0.0366472 1.000 0.000 1.000
2.17912 0.0405057 1.000 0.000 1.000
2.18863 0.0413437 1.000 0.000 1.000
2.19939 0.0410625 1.000 0.000 1.000
2.21381 0.0407832 1.000 0.000 1.000
2.22832 0.0396848 1.000 0.000 1.000
2.24293 0.0395046 1.000 0.000 1.000
2.25764 0.043664 1.000 0.000 1.000
2.27244 0.0374906 1.000 0.000 1.000
2.29233 0.0428764 1.000 0.000 1.000
2.31239 0.0404137 1.000 0.000 1.000
2.33136 0.0417217 1.000 0.000 1.000
2.35176 0.0376616 1.000 0.000 1.000
2.37105 0.0368982 1.000 0.000 1.000
2.3853 0.0431701 1.000 0.000 1.000
2.40094 0.0358229 1.000 0.000 1.000
2.42063 0.0370665 1.000 0.000 1.000
2.44049 0.0396848 1.000 0.000 1.000
2.45917 0.0399566 1.000 0.000 1.000
2.47934 0.0343855 1.000 0.000 1.000
2.49967 0.0270172 1.000 0.000 1.000
2.51881 0.0353372 1.000 0.000 1.000
2.53808 0.0333834 1.000 0.000 1.000
2.55751 0.0327813 1.000 0.000 1.000
2.57849 0.0403219 1.000 0.000 1.000
2.59822 0.0300662 1.000 0.000 1.000
2.61668 0.0326324 1.000 0.000 1.000
2.63671 0.033612 1.000 0.000 1.000
2.65689 0.0293231 1.000 0.000 1.000
2.67577 0.034074 1.000 0.000 1.000
2.69625 0.0372356 1.000 0.000 1.000
2.7154 0.0322633 1.000 0.000 1.000
2.73619 0.0297261 1.000 0.000 1.000
2.75563 0.0349375 1.000 0.000 1.000
2.77521 0.0289914 1.000 0.000 1.000
2.79492 0.0306185 1.000 0.000 1.000
2.81478 0.0304795 1.000 0.000 1.000
2.83478 0.0293899 1.000 0.000 1.000
2.85959 0.0288598 1.000 0.000 1.000
2.88933 0.0299979 1.000 0.000 1.000
2.91303 0.0324105 1.000 0.000 1.000
2.93853 0.0280187 1.000 0.000 1.000
2.96747 0.0272641 1.000 0.000 1.000
2.99671 0.023092 1.000 0.000 1.000
3.02623 0.0268334 1.000 0.000 1.000
3.05604 0.0279551 1.000 0.000 1.000
3.08614 0.0238394 1.000 0.000 1.000
3.11655 0.0295239 1.000 0.000 1.000
3.14553 0.0293231 1.000 0.000 1.000
3.17998 0.0231446 1.000 0.000 1.000
3.21481 0.0243326 1.000 0.000 1.000
3.25002 0.0237852 1.000 0.000 1.000
3.28919 0.0215685 1.000 0.000 1.000
3.3234 0.0257567 1.000 0.000 1.000
3.36346 0.0204689 1.000 0.000 1.000
3.417 0.0190316 1.000 0.000 1.000
3.46762 0.0216669 1.000 0.000 1.000
3.51707 0.0175749 1.000 0.000 1.000
3.575 0.0190316 1.000 0.000 1.000
3.63587 0.0181851 1.000 0.000 1.000
3.69576 0.017615 1.000 0.000 1.000
3.7546 0.0187309 1.000 0.000 1.000
3.81852 0.0169853 1.000 0.000 1.000
3.90262 0.0134982 1.000 0.000 1.000
3.99291 0.0143534 1.000 0.000 1.000
4.08752 0.0138718 1.000 0.000 1.000
4.18665 0.0141266 1.000 0.000 1.000
4.28585 0.0125504 1.000 0.000 1.000
4.40416 0.0111755 1.000 0.000 1.000
4.55789 0.0110995 1.000 0.000 1.000
4.74274 0.0116958 1.000 0.000 1.000
4.981 0.00912701 1.000 0.000 1.000
5.36101 0.00713866 1.000 0.000 1.000
6.06978 0.00538388 1.000 0.000 1.000
7.66307 0.00428833 1.000 0.000 1.000
# 1.000 1.000 0.000
0.538439 0.000904578 1.000 1.000 0.000
0.62475 0.00232539 1.000 1.000 0.000
0.673146 0.00412564 1.000 1.000 0.000
0.706577 0.00471832 1.000 1.000 0.000
0.735634 0.00550778 1.000 1.000 0.000
0.759655 0.00812712 1.000 1.000 0.000
0.784034 0.00728634 1.000 1.000 0.000
0.808313 0.00710625 1.000 1.000 0.000
0.827466 0.00923143 1.000 1.000 0.000
0.846611 0.00906493 1.000 1.000 0.000
0.866199 0.0101109 1.000 1.000 0.000
0.885758 0.00948693 1.000 1.000 0.000
0.904772 0.0111248 1.000 1.000 0.000
0.924194 0.0130454 1.000 1.000 0.000
0.938907 0.0136838 1.000 1.000 0.000
0.948672 0.0135907 1.000 1.000 0.000
0.958018 0.0163409 1.000 1.000 0.000
0.967982 0.018435 1.000 1.000 0.000
0.977518 0.0178571 1.000 1.000 0.000
0.987148 0.0173761 1.000 1.000 0.000
0.996872 0.0189452 1.000 1.000 0.000
1.00669 0.018435 1.000 1.000 0.000
1.01661 0.0193372 1.000 1.000 0.000
1.02607 0.0154725 1.000 1.000 0.000
1.03561 0.020376 1.000 1.000 0.000
1.04524 0.0215685 1.000 1.000 0.000
1.05496 0.022779 1.000 1.000 0.000
1.06478 0.0220147 1.000 1.000 0.000
1.07468 0.0223681 1.000 1.000 0.000
1.08409 0.0237852 1.000 1.000 0.000
1.09417 0.0237852 1.000 1.000 0.000
1.10374 0.0241671 1.000 1.000 0.000
1.1134 0.024555 1.000 1.000 0.000
1.12315 0.0251201 1.000 1.000 0.000
1.13298 0.025006 1.000 1.000 0.000
1.14289 0.0266509 1.000 1.000 0.000
1.15227 0.0279551 1.000 1.000 0.000
1.16235 0.0269558 1.000 1.000 0.000
1.17189 0.0273262 1.000 1.000 0.000
1.1815 0.0315376 1.000 1.000 0.000
1.19119 0.0290575 1.000 1.000 0.000
1.20096 0.0306882 1.000 1.000 0.000
1.21081 0.0311809 1.000 1.000 0.000
1.22074 0.0283393 1.000 1.000 0.000
1.23009 0.0314659 1.000 1.000 0.000
1.24018 0.0337653 1.000 1.000 0.000
1.24967 0.0311809 1.000 1.000 0.000
1.25923 0.0317536 1.000 1.000 0.000
1.26887 0.0281465 1.000 1.000 0.000
1.27858 0.0343855 1.000 1.000 0.000
1.28837 0.0369823 1.000 1.000 0.000
1.29823 0.0323368 1.000 1.000 0.000
1.30816 0.0299979 1.000 1.000 0.000
1.31818 0.0339966 1.000 1.000 0.000
1.32754 0.0393253 1.000 1.000 0.000
1.3377 0.0380059 1.000 1.000 0.000
1.34721 0.036398 1.000 1.000 0.000
1.35678 0.0328559 1.000 1.000 0.000
1.36642 0.0372356 1.000 1.000 0.000
1.37613 0.0316094 1.000 1.000 0.000
1.3859 0.0371509 1.000 1.000 0.000
1.39575 0.037576 1.000 1.000 0.000
1.40567 0.0407832 1.000 1.000 0.000
1.41566 0.0355792 1.000 1.000 0.000
1.42494 0.0372356 1.000 1.000 0.000
1.43506 0.0339193 1.000 1.000 0.000
1.44447 0.0398658 1.000 1.000 0.000
1.45473 0.0382662 1.000 1.000 0.000
1.46427 0.0394148 1.000 1.000 0.000
1.47387 0.0387921 1.000 1.000 0.000
1.48354 0.0374054 1.000 1.000 0.000
1.49326 0.042199 1.000 1.000 0.000
1.50305 0.0404137 1.000 1.000 0.000
1.51291 0.0419119 1.000 1.000 0.000
1.52283 0.0418167 1.000 1.000 0.000
1.53281 0.0440631 1.000 1.000 0.000
1.54202 0.0412497 1.000 1.000 0.000
1.55213 0.0450771 1.000 1.000 0.000
1.56146 0.0420074 1.000 1.000 0.000
1.5717 0.040598 1.000 1.000 0.000
1.58114 0.0395046 1.000 1.000 0.000
1.59151 0.0445672 1.000 1.000 0.000
1.60107 0.0467482 1.000 1.000 0.000
1.61069 0.042488 1.000 1.000 0.000
1.62037 0.042779 1.000 1.000 0.000
1.63011 0.0461144 1.000 1.000 0.000
1.6399 0.0403219 1.000 1.000 0.000
1.64976 0.0363153 1.000 1.000 0.000
1.65967 0.0470684 1.000 1.000 0.000
1.66964 0.0392359 1.000 1.000 0.000
1.67876 0.041156 1.000 1.000 0.000
1.68885 0.0477153 1.000 1.000 0.000
1.69899 0.0410625 1.000 1.000 0.000
1.70827 0.033081 1.000 1.000 0.000
1.71854 0.043072 1.000 1.000 0.000
1.72792 0.0450771 1.000 1.000 0.000
1.7383 0.038616 1.000 1.000 0.000
1.7478 0.046536 1.000 1.000 0.000
1.75734 0.0371509 1.000 1.000 0.000
1.76694 0.0395046 1.000 1.000 0.000
1.77755 0.0388805 1.000 1.000 0.000
1.78726 0.042488 1.000 1.000 0.000
1.79702 0.0396848 1.000 1.000 0.000
1.80683 0.0480421 1.000 1.000 0.000
1.82165 0.0422951 1.000 1.000 0.000
1.8356 0.0470684 1.000 1.000 0.000
1.84562 0.0433669 1.000 1.000 0.000
1.8557 0.0497099 1.000 1.000 0.000
1.8699 0.0440631 1.000 1.000 0.000
1.88935 0.0371509 1.000 1.000 0.000
1.909 0.0428764 1.000 1.000 0.000
1.92361 0.0548189 1.000 1.000 0.000
1.93412 0.0505079 1.000 1.000 0.000
1.94892 0.0418167 1.000 1.000 0.000
1.96812 0.043664 1.000 1.000 0.000
1.98751 0.0421031 1.000 1.000 0.000
2.00709 0.046536 1.000 1.000 0.000
2.02686 0.0426818 1.000 1.000 0.000
2.04683 0.0361504 1.000 1.000 0.000
2.06586 0.0415322 1.000 1.000 0.000
2.08622 0.0404137 1.000 1.000 0.000
2.10562 0.0394148 1.000 1.000 0.000
2.1252 0.0313944 1.000 1.000 0.000
2.14497 0.0414379 1.000 1.000 0.000
2.16492 0.0396848 1.000 1.000 0.000
2.18387 0.0355792 1.000 1.000 0.000
2.20418 0.0396848 1.000 1.000 0.000
2.22347 0.0396848 1.000 1.000 0.000
2.24293 0.0406905 1.000 1.000 0.000
2.2675 0.0423914 1.000 1.000 0.000
2.29233 0.0462195 1.000 1.000 0.000
2.31743 0.0434657 1.000 1.000 0.000
2.34664 0.0374054 1.000 1.000 0.000
2.37622 0.0393253 1.000 1.000 0.000
2.40617 0.0369823 1.000 1.000 0.000
2.43518 0.0397752 1.000 1.000 0.000
2.46453 0.0357415 1.000 1.000 0.000
2.49424 0.0369823 1.000 1.000 0.000
2.52843 0.0327068 1.000 1.000 0.000
2.56309 0.0385282 1.000 1.000 0.000
2.59822 0.0326324 1.000 1.000 0.000
2.64246 0.0279551 1.000 1.000 0.000
2.68599 0.0281465 1.000 1.000 0.000
2.72577 0.0330058 1.000 1.000 0.000
2.76465 0.0302034 1.000 1.000 0.000
2.81019 0.0285334 1.000 1.000 0.000
2.85959 0.0287288 1.000 1.000 0.000
2.90828 0.0283393 1.000 1.000 0.000
2.95779 0.0280187 1.000 1.000 0.000
3.01143 0.0267116 1.000 1.000 0.000
3.07106 0.0266509 1.000 1.000 0.000
3.13015 0.0272022 1.000 1.000 0.000
3.19561 0.020656 1.000 1.000 0.000
3.26421 0.0216176 1.000 1.000 0.000
3.33428 0.0238394 1.000 1.000 0.000
3.42259 0.0193372 1.000 1.000 0.000
3.5209 0.0195584 1.000 1.000 0.000
3.60629 0.0212277 1.000 1.000 0.000
3.69979 0.0166789 1.000 1.000 0.000
3.83311 0.0156852 1.000 1.000 0.000
4.00816 0.0139987 1.000 1.000 0.000
4.19578 0.0156852 1.000 1.000 0.000
4.45482 0.0105336 1.000 1.000 0.000
4.87367 0.00858323 1.000 1.000 0.000
5.76059 0.0061854 1.000 1.000 0.000
6.99688 0.00398722 1.000 1.000 0.000
# 0.000 0.000 0.000
# 1.000 0.000 0.000
# 0.000 1.000 0.000
# 0.000 0.000 1.000
# 0.000 1.000 1.000
# 1.000 0.000 1.000
# 1.000 1.000 0.000
# 0.000 0.000 0.000
# 0.000 1.000 0.000
# 0.000 0.000 0.000
