# Energy[keV] nuFnu[keV2/keV/cm2/s] R G B
# 0.000 0.000 0.000
4.59778 0.00997386 1.000 0.000 0.000
4.63802 0.00983864 1.000 0.000 0.000
4.67861 0.0095302 1.000 0.000 0.000
4.71699 0.00961732 1.000 0.000 0.000
4.75827 0.00966118 1.000 0.000 0.000
4.7973 0.00908557 1.000 0.000 0.000
4.83665 0.00906493 1.000 0.000 0.000
4.87632 0.00884088 1.000 0.000 0.000
4.91632 0.00902377 1.000 0.000 0.000
4.95664 0.00852484 1.000 0.000 0.000
4.9973 0.00882079 1.000 0.000 0.000
5.03555 0.00886102 1.000 0.000 0.000
5.07685 0.00850547 1.000 0.000 0.000
5.11571 0.00864201 1.000 0.000 0.000
5.15767 0.0080535 1.000 0.000 0.000
5.19715 0.00787234 1.000 0.000 0.000
5.23692 0.00789027 1.000 0.000 0.000
5.277 0.00764291 1.000 0.000 0.000
5.3145 0.00778329 1.000 0.000 0.000
5.35517 0.00750506 1.000 0.000 0.000
5.39616 0.00752216 1.000 0.000 0.000
5.4345 0.00713866 1.000 0.000 0.000
5.47609 0.00679014 1.000 0.000 0.000
5.515 0.00693061 1.000 0.000 0.000
5.55418 0.00728634 1.000 0.000 0.000
5.59365 0.00666767 1.000 0.000 0.000
5.63646 0.00638559 1.000 0.000 0.000
5.6765 0.00629901 1.000 0.000 0.000
5.71372 0.00642932 1.000 0.000 0.000
5.75432 0.00588343 1.000 0.000 0.000
5.7952 0.0066374 1.000 0.000 0.000
5.8332 0.00612937 1.000 0.000 0.000
5.87465 0.00634215 1.000 0.000 0.000
5.91316 0.00610154 1.000 0.000 0.000
5.95518 0.00538388 1.000 0.000 0.000
5.99422 0.00581688 1.000 0.000 0.000
6.03352 0.00576418 1.000 0.000 0.000
6.07308 0.0055455 1.000 0.000 0.000
6.1129 0.00608768 1.000 0.000 0.000
6.15298 0.00552032 1.000 0.000 0.000
6.19333 0.00569898 1.000 0.000 0.000
6.23393 0.00534726 1.000 0.000 0.000
6.27481 0.00576418 1.000 0.000 0.000
6.31595 0.00584341 1.000 0.000 0.000
6.3539 0.00542075 1.000 0.000 0.000
6.39556 0.00527476 1.000 0.000 0.000
6.43399 0.00481593 1.000 0.000 0.000
6.47617 0.00534726 1.000 0.000 0.000
6.51509 0.0047723 1.000 0.000 0.000
6.55423 0.00519142 1.000 0.000 0.000
6.59362 0.0048269 1.000 0.000 0.000
6.63324 0.00523888 1.000 0.000 0.000
6.67309 0.00490438 1.000 0.000 0.000
6.71319 0.004529 1.000 0.000 0.000
6.75353 0.00471832 1.000 0.000 0.000
6.7941 0.00563452 1.000 0.000 0.000
6.83493 0.00409757 1.000 0.000 0.000
6.876 0.00491556 1.000 0.000 0.000
6.91355 0.00408826 1.000 0.000 0.000
6.95509 0.00447777 1.000 0.000 0.000
6.99688 0.00447777 1.000 0.000 0.000
7.03509 0.00439701 1.000 0.000 0.000
7.0735 0.00423019 1.000 0.000 0.000
7.11601 0.00439701 1.000 0.000 0.000
7.15487 0.00428833 1.000 0.000 0.000
7.19394 0.00396009 1.000 0.000 0.000
7.23716 0.00379256 1.000 0.000 0.000
7.27669 0.00397816 1.000 0.000 0.000
7.31642 0.00388867 1.000 0.000 0.000
7.35638 0.0040697 1.000 0.000 0.000
