

#   Phi[rad]  Energy[keV]            I          Q/I
   0.0174533      2.44844      1779.04   -0.0356344
   0.0174533      2.56502      1705.82   -0.0360232
   0.0174533      2.68716       1629.5   -0.0363859
   0.0174533      2.81511      1550.08   -0.0367188
   0.0174533      2.94915       1467.6   -0.0370178
   0.0174533      3.08958      1382.22   -0.0372783
   0.0174533      3.23669      1294.31   -0.0374943
   0.0174533      3.39081      1204.37   -0.0376607
   0.0174533      3.55226       1113.1   -0.0377742
   0.0174533      3.72141      1021.36   -0.0378304
   0.0174533       3.8986      930.214   -0.0378267
   0.0174533      4.08424      840.864   -0.0377626
   0.0174533      4.27871      754.618   -0.0376407
   0.0174533      4.48245      672.798   -0.0374688
   0.0174533      4.69588      596.428   -0.0372559
   0.0174533      4.91948      526.006   -0.0370065
   0.0174533      5.15372       461.82   -0.0367249
   0.0174533      5.39912      403.964   -0.0364159
   0.0174533      5.65621      352.336   -0.0360847
   0.0174533      5.92553      306.633   -0.0357351
   0.0174533      6.20768      266.374    -0.035368
   0.0174533      6.50326       230.94   -0.0349788
   0.0174533      6.81292      199.672   -0.0345569
   0.0174533      7.13732      172.028   -0.0340934
   0.0174533      7.47717      147.605    -0.033584
   0.0174533       7.8332      126.096   -0.0330268
   0.0174533      8.20619      107.259   -0.0324225
   0.0174533      8.59693      90.8911   -0.0317745
   0.0174533      9.00628      76.8247   -0.0310977
   0.0174533      9.43512      64.8701   -0.0304165
   0.0174533      9.88438      54.7267    -0.029734
   0.0174533       10.355      46.0941   -0.0290394
   0.0174533      10.8481      38.7604   -0.0283342
   0.0174533      11.3646      32.5596   -0.0276288
   0.0174533      11.9058      27.3214     -0.02692
   0.0174533      12.4727      22.8998   -0.0262044
   0.0174533      13.0666       19.173   -0.0254823
   0.0174533      13.6887      16.0389    -0.024759
   0.0174533      14.3405      13.4098   -0.0240425
   0.0174533      15.0234       11.208   -0.0233385
   0.0174533      15.7387      9.36657   -0.0226523
   0.0174533      16.4881      7.82771    -0.021987
   0.0174533      17.2732        6.542   -0.0213432
   0.0174533      18.0957      5.46805   -0.0207215
   0.0174533      18.9574      4.57099    -0.020122
   0.0174533        19.86      3.82123   -0.0195412
   0.0174533      20.8057       3.1942   -0.0189756
   0.0174533      21.7964      2.66962   -0.0184223
   0.0174533      22.8342      2.23081   -0.0178809
   0.0174533      23.9215      1.86398   -0.0173533
   0.0174533      25.0605      1.55747   -0.0168413
   0.0174533      26.2538      1.30136   -0.0163447
   0.0174533      27.5039      1.08737   -0.0158631
   0.0174533      28.8135     0.908576   -0.0153961
   0.0174533      30.1855     0.759152   -0.0149421
   0.0174533      31.6228     0.634284   -0.0145008
#   Phi[rad]  Energy[keV]            I          Q/I
    0.261799     0.316228      1104.44    -0.842119
    0.261799     0.331285      1132.79    -0.841266
    0.261799      0.34706      1156.38    -0.840051
    0.261799     0.363585      1174.85    -0.838469
    0.261799     0.380897         1188    -0.836535
    0.261799     0.399034      1195.83    -0.834283
    0.261799     0.418034      1198.84    -0.831803
    0.261799      0.43794      1197.68    -0.829183
    0.261799     0.458792      1192.95    -0.826389
    0.261799     0.480638      1185.19    -0.823236
    0.261799     0.503524      1175.21    -0.819259
    0.261799       0.5275      1164.05    -0.813818
    0.261799     0.552617      1153.53    -0.806599
    0.261799      0.57893      1145.41    -0.795443
    0.261799     0.606496      1141.71    -0.771931
    0.261799     0.635375      1144.13    -0.778897
    0.261799     0.665629      1154.97    -0.819277
    0.261799     0.697324      1175.88    -0.809386
    0.261799     0.730527      1209.12    -0.809462
    0.261799     0.765312      1255.37    -0.809387
    0.261799     0.801753      1314.35    -0.807813
    0.261799     0.839929      1383.67     -0.81448
    0.261799     0.879923      1460.17    -0.821375
    0.261799     0.921821      1540.92     -0.82396
    0.261799     0.965714      1623.45    -0.829696
    0.261799       1.0117      1704.67    -0.834145
    0.261799      1.05987      1783.21    -0.841317
    0.261799      1.11034       1857.8    -0.846063
    0.261799      1.16321      1926.56    -0.849086
    0.261799      1.21859      1987.32    -0.850919
    0.261799      1.27662      2038.15    -0.851971
    0.261799       1.3374      2078.11    -0.852486
    0.261799      1.40109      2107.61    -0.852563
    0.261799       1.4678      2127.27    -0.852308
    0.261799      1.53769      2137.55    -0.851776
    0.261799      1.61091      2138.79    -0.850792
    0.261799      1.68761      2131.22    -0.849556
    0.261799      1.76797      2114.99    -0.848226
    0.261799      1.85215      2090.25    -0.846795
    0.261799      1.94034      2057.12    -0.845248
    0.261799      2.03274       2015.8    -0.843563
    0.261799      2.12953      1966.57    -0.841716
    0.261799      2.23092       1909.9    -0.839685
    0.261799      2.33715      1846.48    -0.837461
    0.261799      2.44844      1777.35    -0.835065
    0.261799      2.56502      1704.04    -0.832576
    0.261799      2.68716      1627.66    -0.830044
    0.261799      2.81511      1548.19    -0.827379
    0.261799      2.94915      1465.69    -0.824478
    0.261799      3.08958      1380.31    -0.821239
    0.261799      3.23669      1292.42    -0.817546
    0.261799      3.39081      1202.53    -0.813292
    0.261799      3.55226      1111.31     -0.80842
    0.261799      3.72141      1019.66    -0.802806
    0.261799       3.8986      928.606    -0.796364
    0.261799      4.08424       839.36    -0.789056
    0.261799      4.27871      753.225    -0.780899
