# Phi[rad]             Energy[keV]    I             Q/I
# I is the mean intensity over the image in units of erg/s/cm^2/sr/keV
   0.0174533      2.33715      2430.47   -0.0323571
   0.0174533      2.44844      2335.15   -0.0324192
   0.0174533      2.56502      2237.51   -0.0324798
   0.0174533      2.68716      2156.25   -0.0325301
   0.0174533      2.81511      2066.22   -0.0325848
   0.0174533      2.94915      1967.56   -0.0326436
   0.0174533      3.08958      1860.38   -0.0327168
   0.0174533      3.23669       1745.2    -0.032809
   0.0174533      3.39081      1622.84   -0.0329266
   0.0174533      3.55226      1494.56   -0.0330794
   0.0174533      3.72141      1362.08   -0.0332776
   0.0174533       3.8986      1227.58   -0.0335428
   0.0174533      4.08424      1094.04   -0.0338997
   0.0174533      4.27871      965.313   -0.0343783
   0.0174533      4.48245      849.699   -0.0349902
   0.0174533      4.69588       754.75   -0.0357082
   0.0174533      4.91948      670.482   -0.0366135
   0.0174533      5.15372      597.051   -0.0377282
   0.0174533      5.39912      534.309   -0.0390608
   0.0174533      5.65621      481.724   -0.0405989
   0.0174533      5.92553      438.271   -0.0423063
   0.0174533      6.20768      402.311   -0.0441329
   0.0174533      6.50326      371.447   -0.0460388
   0.0174533      6.81292      340.003   -0.0482196
   0.0174533      7.13732      309.356   -0.0505645
   0.0174533      7.47717      280.725   -0.0529991
   0.0174533       7.8332      254.568   -0.0554714
   0.0174533      8.20619      231.403     -0.05789
   0.0174533      8.59693      208.904   -0.0604507
   0.0174533      9.00628      187.312   -0.0630299
   0.0174533      9.43512      173.009   -0.0645608
   0.0174533      9.88438      161.904   -0.0657337
   0.0174533       10.355      149.159   -0.0671688
   0.0174533      10.8481       132.87   -0.0684769
   0.0174533      11.3646      123.309   -0.0690736
   0.0174533      11.9058       112.03   -0.0697248
   0.0174533      12.4727      99.3569   -0.0704307
   0.0174533      13.0666      85.7482   -0.0711723
   0.0174533      13.6887      72.0326   -0.0718678
   0.0174533      14.3405      63.1862   -0.0722336
   0.0174533      15.0234      54.4782   -0.0724911
   0.0174533      15.7387      46.0598   -0.0725683
   0.0174533      16.4881      38.0082   -0.0724715
   0.0174533      17.2732      30.4701   -0.0722107
   0.0174533      18.0957      23.6749   -0.0717651
   0.0174533      18.9574      18.3841   -0.0712039
   0.0174533        19.86      13.9941   -0.0706096
   0.0174533      20.8057      10.3774   -0.0699967
   0.0174533      21.7964      7.49511    -0.069405
   0.0174533      22.8342       5.2734   -0.0688538
   0.0174533      23.9215      3.51498    -0.068057
   0.0174533      25.0605      2.20147    -0.066573
   0.0174533      26.2538       1.3641   -0.0643188
   0.0174533      27.5039     0.873828   -0.0615231
   0.0174533      28.8135     0.476783    -0.057027
   0.0174533      30.1855     0.244016   -0.0519689
   0.0174533      31.6228     0.215274   -0.0512106
# Phi[rad]             Energy[keV]    I             Q/I
    0.261799     0.316228      1311.07    -0.959903
    0.261799     0.331285       1342.4    -0.960048
    0.261799      0.34706      1365.57    -0.960138
    0.261799     0.363585      1380.32    -0.960156
    0.261799     0.380897      1387.84    -0.960085
    0.261799     0.399034      1381.16    -0.959808
    0.261799     0.418034      1366.51    -0.959482
    0.261799      0.43794      1346.96    -0.959067
    0.261799     0.458792         1322    -0.958535
    0.261799     0.480638      1287.27    -0.957313
    0.261799     0.503524       1246.6    -0.956846
    0.261799       0.5275      1189.95    -0.957478
    0.261799     0.552617      1141.91     -0.95592
    0.261799      0.57893       1085.7    -0.953361
    0.261799     0.606496      1061.27    -0.951619
    0.261799     0.635375      1012.21    -0.949036
    0.261799     0.665629         1021    -0.947928
    0.261799     0.697324      1008.31    -0.945942
    0.261799     0.730527      1075.72    -0.947307
    0.261799     0.765312      1168.14    -0.948945
    0.261799     0.801753      1324.27    -0.953033
    0.261799     0.839929      1496.16    -0.957116
    0.261799     0.879923      1653.57    -0.959619
    0.261799     0.921821      1802.87    -0.961664
    0.261799     0.965714       1981.4     -0.96383
    0.261799       1.0117      2090.48    -0.964985
    0.261799      1.05987      2204.78    -0.966125
    0.261799      1.11034      2326.44    -0.967187
    0.261799      1.16321      2447.59    -0.968076
    0.261799      1.21859      2557.92    -0.968703
    0.261799      1.27662      2644.19    -0.968965
    0.261799       1.3374      2677.88    -0.968899
    0.261799      1.40109      2687.41    -0.968807
    0.261799       1.4678      2692.53    -0.968666
    0.261799      1.53769       2692.6    -0.968471
    0.261799      1.61091      2686.97    -0.968217
    0.261799      1.68761      2674.88    -0.967901
    0.261799      1.76797      2655.53    -0.967516
    0.261799      1.85215      2628.04    -0.967053
    0.261799      1.94034      2591.45    -0.966506
    0.261799      2.03274      2544.74    -0.965863
    0.261799      2.12953      2486.78    -0.965114
    0.261799      2.23092      2416.36     -0.96424
    0.261799      2.33715      2332.19    -0.963223
    0.261799      2.44844      2232.86    -0.962033
    0.261799      2.56502      2131.99    -0.960814
    0.261799      2.68716      2048.57    -0.959775
    0.261799      2.81511      1956.54    -0.958569
    0.261799      2.94915      1855.99    -0.957178
    0.261799      3.08958      1747.24    -0.955584
    0.261799      3.23669      1630.73    -0.953746
    0.261799      3.39081      1507.26    -0.951612
    0.261799      3.55226      1378.02    -0.949114
    0.261799      3.72141      1244.68     -0.94617
    0.261799       3.8986      1109.49    -0.942689
    0.261799      4.08424       975.37    -0.938583
    0.261799      4.27871      846.098     -0.93381
    0.261799      4.48245      729.965    -0.928637
    0.261799      4.69588      634.486    -0.923671
    0.261799      4.91948      549.635    -0.918729
    0.261799      5.15372      475.576    -0.914132
    0.261799      5.39912      412.181    -0.910318
    0.261799      5.65621      358.942    -0.907785
    0.261799      5.92553      314.865     -0.90696
    0.261799      6.20768      278.353    -0.907957
    0.261799      6.50326      247.063    -0.910301
    0.261799      6.81292      215.368    -0.913012
    0.261799      7.13732      184.745    -0.915161
    0.261799      7.47717      156.448      -0.9165
    0.261799       7.8332      130.963    -0.916873
    0.261799      8.20619      108.835    -0.916316
    0.261799      8.59693      88.0505    -0.915289
    0.261799      9.00628      69.3992    -0.915551
    0.261799      9.43512      58.2431    -0.917715
    0.261799      9.88438      49.9582    -0.920173
    0.261799       10.355      40.7887    -0.920189
    0.261799      10.8481      31.3682    -0.916328
    0.261799      11.3646      26.6246    -0.912642
    0.261799      11.9058      21.4928    -0.906598
    0.261799      12.4727      16.2544    -0.896433
    0.261799      13.0666      11.2814    -0.878365
    0.261799      13.6887      7.11204    -0.845139
    0.261799      14.3405      5.07442    -0.811957
    0.261799      15.0234      3.67273    -0.774031
    0.261799      15.7387      2.66367    -0.727137
    0.261799      16.4881      1.95224     -0.67192
    0.261799      17.2732      1.45548    -0.611745
    0.261799      18.0957       1.1127    -0.556179
    0.261799      18.9574     0.884108    -0.517682
    0.261799        19.86     0.679191    -0.475677
    0.261799      20.8057     0.496108     -0.42693
    0.261799      21.7964     0.338788    -0.366678
    0.261799      22.8342     0.211602    -0.284007
    0.261799      23.9215     0.120022    -0.180676
    0.261799      25.0605    0.0643782   -0.0623525
    0.261799      26.2538    0.0365944    0.0402051
    0.261799      27.5039    0.0262827  0.000429368
    0.261799      28.8135    0.0197752    -0.194066
    0.261799      30.1855   0.00880287   -0.0959807
    0.261799      31.6228   0.00646774    0.0422537
# Phi[rad]             Energy[keV]    I             Q/I
    0.523599     0.316228      1292.44      -0.9634
    0.523599     0.331285      1322.34    -0.962835
    0.523599      0.34706      1343.46     -0.96211
    0.523599     0.363585      1355.68    -0.961231
    0.523599     0.380897      1360.61     -0.96024
    0.523599     0.399034       1350.7    -0.958925
    0.523599     0.418034      1334.17    -0.957577
    0.523599      0.43794      1314.95     -0.95587
    0.523599     0.458792      1292.44    -0.954275
    0.523599     0.480638       1260.3    -0.949861
    0.523599     0.503524      1223.19    -0.952329
    0.523599       0.5275      1170.54     -0.96667
    0.523599     0.552617      1127.57    -0.967309
    0.523599      0.57893      1077.02     -0.96285
    0.523599     0.606496      1058.06    -0.961377
    0.523599     0.635375      1015.89    -0.959035
    0.523599     0.665629      1030.06    -0.958604
    0.523599     0.697324      1023.83     -0.95712
    0.523599     0.730527       1091.7    -0.958173
    0.523599     0.765312      1179.13    -0.960209
    0.523599     0.801753      1325.12    -0.964336
    0.523599     0.839929      1488.34    -0.967545
    0.523599     0.879923      1643.04    -0.970084
    0.523599     0.921821      1786.03    -0.972157
    0.523599     0.965714      1954.26    -0.974375
    0.523599       1.0117      2057.73    -0.975457
    0.523599      1.05987       2164.7    -0.976511
    0.523599      1.11034      2277.76    -0.977544
    0.523599      1.16321      2389.05    -0.978514
    0.523599      1.21859      2488.29    -0.979383
    0.523599      1.27662      2562.33     -0.98012
    0.523599       1.3374      2587.99    -0.980492
    0.523599      1.40109      2593.46    -0.980651
    0.523599       1.4678      2594.34      -0.9808
    0.523599      1.53769      2590.06     -0.98094
    0.523599      1.61091      2579.99    -0.981069
    0.523599      1.68761      2563.47    -0.981189
    0.523599      1.76797       2539.8    -0.981297
    0.523599      1.85215       2508.2    -0.981393
    0.523599      1.94034      2467.88    -0.981477
    0.523599      2.03274      2417.98    -0.981547
    0.523599      2.12953      2357.63    -0.981604
    0.523599      2.23092      2285.88    -0.981645
    0.523599      2.33715      2201.78     -0.98167
    0.523599      2.44844      2104.33    -0.981676
    0.523599      2.56502      2006.99    -0.981665
    0.523599      2.68716       1927.5    -0.981638
    0.523599      2.81511      1840.59    -0.981578
    0.523599      2.94915      1746.41    -0.981504
    0.523599      3.08958      1645.24    -0.981425
    0.523599      3.23669       1537.6    -0.981344
    0.523599      3.39081      1424.28    -0.981266
    0.523599      3.55226      1306.34    -0.981195
    0.523599      3.72141      1185.26    -0.981135
    0.523599       3.8986       1063.1    -0.981097
    0.523599      4.08424      942.529    -0.981095
    0.523599      4.27871       826.96    -0.981152
    0.523599      4.48245      723.855    -0.981277
    0.523599      4.69588      639.725      -0.9815
    0.523599      4.91948      565.616    -0.981886
    0.523599      5.15372      501.607    -0.982479
    0.523599      5.39912      447.483    -0.983305
    0.523599      5.65621      402.658    -0.984368
    0.523599      5.92553      366.047    -0.985631
    0.523599      6.20768       335.97    -0.987015
    0.523599      6.50326      310.026     -0.98841
    0.523599      6.81292      282.893    -0.989815
    0.523599      7.13732      255.479     -0.99106
    0.523599      7.47717      228.967    -0.992102
    0.523599       7.8332      203.961    -0.992922
    0.523599      8.20619      181.214    -0.993516
    0.523599      8.59693      158.728    -0.993987
    0.523599      9.00628      136.895    -0.994441
    0.523599      9.43512      122.097    -0.994684
    0.523599      9.88438      110.358     -0.99479
    0.523599       10.355      97.1015    -0.994749
    0.523599      10.8481      80.9196    -0.994293
    0.523599      11.3646      71.6944    -0.993834
    0.523599      11.9058      61.1202    -0.993104
    0.523599      12.4727      49.7385    -0.991971
    0.523599      13.0666      38.2811     -0.99021
    0.523599      13.6887      27.8563    -0.987537
    0.523599      14.3405      21.9568    -0.985123
    0.523599      15.0234      16.8247    -0.981939
    0.523599      15.7387      12.5014     -0.97768
    0.523599      16.4881      8.94083    -0.971807
    0.523599      17.2732       6.0875    -0.963374
    0.523599      18.0957      3.90256    -0.950748
    0.523599      18.9574      2.45457    -0.933379
    0.523599        19.86      1.44609    -0.906655
    0.523599      20.8057     0.801567    -0.866666
    0.523599      21.7964     0.457398     -0.82441
    0.523599      22.8342     0.314492    -0.819665
    0.523599      23.9215     0.250684    -0.853001
    0.523599      25.0605     0.180878    -0.875884
    0.523599      26.2538     0.107596     -0.87188
    0.523599      27.5039    0.0444822    -0.795712
    0.523599      28.8135   0.00935256    -0.447306
    0.523599      30.1855   0.00434739    -0.430694
    0.523599      31.6228   0.00613821    -0.658832
# Phi[rad]             Energy[keV]    I             Q/I
    0.785398     0.316228      1270.39    -0.949025
    0.785398     0.331285      1298.27    -0.947516
    0.785398      0.34706      1316.78    -0.945714
    0.785398     0.363585      1325.95    -0.943644
    0.785398     0.380897      1327.72    -0.941413
    0.785398     0.399034       1313.9    -0.938699
    0.785398     0.418034      1294.52    -0.935982
    0.785398      0.43794      1274.95    -0.932456
    0.785398     0.458792      1253.93    -0.929319
    0.785398     0.480638      1223.84    -0.919725
    0.785398     0.503524      1191.24    -0.926886
    0.785398       0.5275      1144.89    -0.963003
    0.785398     0.552617      1109.02    -0.966535
    0.785398      0.57893      1066.24     -0.95809
    0.785398     0.606496      1054.94      -0.9559
    0.785398     0.635375      1022.95    -0.952475
    0.785398     0.665629      1044.14    -0.952086
    0.785398     0.697324      1045.19    -0.950076
    0.785398     0.730527      1111.71    -0.950353
    0.785398     0.765312      1192.79    -0.951436
    0.785398     0.801753      1327.56    -0.954701
    0.785398     0.839929      1481.32    -0.958632
    0.785398     0.879923      1629.06    -0.961791
    0.785398     0.921821      1762.19    -0.964128
    0.785398     0.965714      1917.63    -0.966667
    0.785398       1.0117      2013.35     -0.96787
    0.785398      1.05987      2110.94    -0.969012
    0.785398      1.11034      2212.92    -0.970158
    0.785398      1.16321      2311.31    -0.971271
    0.785398      1.21859      2395.72    -0.972329
    0.785398      1.27662      2452.87    -0.973318
    0.785398       1.3374      2467.15    -0.973885
    0.785398      1.40109      2466.81     -0.97415
    0.785398       1.4678      2461.56     -0.97442
    0.785398      1.53769      2450.87    -0.974694
    0.785398      1.61091      2434.18    -0.974975
    0.785398      1.68761      2410.93    -0.975261
    0.785398      1.76797       2380.5    -0.975555
    0.785398      1.85215      2342.28    -0.975857
    0.785398      1.94034      2295.65    -0.976167
    0.785398      2.03274         2240    -0.976487
    0.785398      2.12953      2174.71    -0.976816
    0.785398      2.23092       2099.2    -0.977152
    0.785398      2.33715      2012.94    -0.977493
    0.785398      2.44844      1915.46    -0.977837
    0.785398      2.56502       1820.3    -0.978141
    0.785398      2.68716      1743.99    -0.978363
    0.785398      2.81511      1661.68    -0.978581
    0.785398      2.94915      1573.54    -0.978809
    0.785398      3.08958      1479.89     -0.97906
    0.785398      3.23669      1381.23    -0.979344
    0.785398      3.39081      1278.29     -0.97967
    0.785398      3.55226      1172.11    -0.980052
    0.785398      3.72141      1064.07    -0.980506
    0.785398       3.8986      955.967    -0.981053
    0.785398      4.08424      850.127    -0.981716
    0.785398      4.27871      749.527    -0.982516
    0.785398      4.48245       660.53    -0.983415
    0.785398      4.69588       588.63     -0.98435
    0.785398      4.91948      526.087    -0.985403
    0.785398      5.15372      472.926    -0.986558
    0.785398      5.39912      428.883    -0.987772
    0.785398      5.65621      393.313    -0.988987
    0.785398      5.92553       365.11    -0.990135
    0.785398      6.20768      342.618    -0.991162
    0.785398      6.50326        323.5    -0.992059
    0.785398      6.81292      303.079    -0.992942
    0.785398      7.13732      281.703    -0.993769
    0.785398      7.47717      260.315    -0.994532
    0.785398       7.8332      239.508    -0.995221
    0.785398      8.20619      220.049    -0.995811
    0.785398      8.59693      200.319    -0.996326
    0.785398      9.00628      180.528    -0.996712
    0.785398      9.43512      166.509    -0.996802
    0.785398      9.88438      155.194    -0.996792
    0.785398       10.355      141.933    -0.996824
    0.785398      10.8481      123.959    -0.996741
    0.785398      11.3646      113.121    -0.996616
    0.785398      11.9058      100.317    -0.996411
    0.785398      12.4727      86.0533    -0.996104
    0.785398      13.0666      71.0349    -0.995661
    0.785398      13.6887      56.4171    -0.995061
    0.785398      14.3405      47.3991    -0.994568
    0.785398      15.0234      38.8774    -0.993963
    0.785398      15.7387      30.9814    -0.993198
    0.785398      16.4881      23.8061    -0.992201
    0.785398      17.2732      17.4672    -0.990856
    0.785398      18.0957       12.137    -0.988984
    0.785398      18.9574      8.33053    -0.986676
    0.785398        19.86      5.50671    -0.983714
    0.785398      20.8057      3.50662    -0.980113
    0.785398      21.7964      2.21133    -0.976627
    0.785398      22.8342      1.44319    -0.974934
    0.785398      23.9215     0.936815    -0.975056
    0.785398      25.0605     0.552979    -0.974473
    0.785398      26.2538     0.298616    -0.971395
    0.785398      27.5039     0.148171    -0.962685
    0.785398      28.8135    0.0507405    -0.939084
    0.785398      30.1855     0.022429    -0.935104
    0.785398      31.6228    0.0223676    -0.945109
# Phi[rad]             Energy[keV]    I             Q/I
      1.0472     0.316228      1241.58    -0.940115
      1.0472     0.331285      1267.45     -0.93798
      1.0472      0.34706      1283.68    -0.935462
      1.0472     0.363585       1290.3    -0.932586
      1.0472     0.380897      1289.47    -0.929495
      1.0472     0.399034      1272.53    -0.925758
      1.0472     0.418034       1250.3    -0.922014
      1.0472      0.43794       1229.3    -0.917226
      1.0472     0.458792      1208.16    -0.913024
      1.0472     0.480638      1179.29    -0.900188
      1.0472     0.503524      1150.04    -0.910203
      1.0472       0.5275      1108.54    -0.959364
      1.0472     0.552617      1078.87    -0.964571
      1.0472      0.57893      1043.66    -0.953855
      1.0472     0.606496      1039.93    -0.951355
      1.0472     0.635375      1018.08    -0.947304
      1.0472     0.665629      1044.34    -0.947808
      1.0472     0.697324      1050.83    -0.946035
      1.0472     0.730527      1117.34    -0.945121
      1.0472     0.765312      1195.25    -0.945686
      1.0472     0.801753      1321.98    -0.948727
      1.0472     0.839929      1467.41    -0.952464
      1.0472     0.879923      1606.63    -0.955524
      1.0472     0.921821      1730.09    -0.957801
      1.0472     0.965714       1873.5    -0.960318
      1.0472       1.0117      1961.61    -0.961501
      1.0472      1.05987      2050.66    -0.962601
      1.0472      1.11034      2142.44    -0.963713
      1.0472      1.16321      2228.74    -0.964804
      1.0472      1.21859      2298.91    -0.965852
      1.0472      1.27662      2339.39    -0.966846
      1.0472       1.3374      2342.15    -0.967424
      1.0472      1.40109      2335.89    -0.967695
      1.0472       1.4678      2324.33    -0.967975
      1.0472      1.53769      2306.99    -0.968262
      1.0472      1.61091      2283.37     -0.96856
      1.0472      1.68761      2252.96    -0.968868
      1.0472      1.76797      2215.27    -0.969189
      1.0472      1.85215      2169.83    -0.969524
      1.0472      1.94034      2116.18    -0.969875
      1.0472      2.03274      2053.93    -0.970244
      1.0472      2.12953      1982.74    -0.970633
      1.0472      2.23092      1902.37    -0.971043
      1.0472      2.33715      1812.69    -0.971477
      1.0472      2.44844      1713.74    -0.971934
      1.0472      2.56502      1619.41    -0.972351
      1.0472      2.68716       1545.2    -0.972667
      1.0472      2.81511      1466.33    -0.972989
      1.0472      2.94915      1383.01    -0.973326
      1.0472      3.08958      1295.57    -0.973694
      1.0472      3.23669      1204.52    -0.974108
      1.0472      3.39081      1110.56    -0.974583
      1.0472      3.55226      1014.62    -0.975137
      1.0472      3.72141      917.928    -0.975794
      1.0472       3.8986      822.085    -0.976584
      1.0472      4.08424       729.11    -0.977537
      1.0472      4.27871      641.541    -0.978682
      1.0472      4.48245      564.803    -0.979959
      1.0472      4.69588      503.459    -0.981275
      1.0472      4.91948      450.799    -0.982736
      1.0472      5.15372      406.814    -0.984299
      1.0472      5.39912      371.218     -0.98589
      1.0472      5.65621      343.385    -0.987416
      1.0472      5.92553      322.227    -0.988787
      1.0472      6.20768      306.116    -0.989953
      1.0472      6.50326      292.805    -0.990935
      1.0472      6.81292      278.204    -0.991917
      1.0472      7.13732       262.24    -0.992883
      1.0472      7.47717      245.678    -0.993829
      1.0472       7.8332      229.091    -0.994738
      1.0472      8.20619      213.242     -0.99557
      1.0472      8.59693      196.989     -0.99634
      1.0472      9.00628       180.59    -0.996932
      1.0472      9.43512      168.862    -0.997108
      1.0472      9.88438      159.351    -0.997163
      1.0472       10.355      147.833    -0.997328
      1.0472      10.8481      131.339    -0.997446
      1.0472      11.3646      121.152    -0.997452
      1.0472      11.9058      108.952    -0.997423
      1.0472      12.4727      95.1456    -0.997352
      1.0472      13.0666      80.3026    -0.997229
      1.0472      13.6887      65.4209    -0.997043
      1.0472      14.3405      55.9169     -0.99688
      1.0472      15.0234      46.6653    -0.996668
      1.0472      15.7387       37.829    -0.996381
      1.0472      16.4881      29.5659    -0.995992
      1.0472      17.2732      22.0783     -0.99546
      1.0472      18.0957      15.6356    -0.994719
      1.0472      18.9574      10.9467    -0.993816
      1.0472        19.86      7.40607    -0.992704
      1.0472      20.8057      4.83197    -0.991404
      1.0472      21.7964      3.09677    -0.990166
      1.0472      22.8342      2.00722    -0.989488
      1.0472      23.9215      1.26192    -0.989246
      1.0472      25.0605     0.717014    -0.988553
      1.0472      26.2538     0.379921    -0.987026
      1.0472      27.5039     0.197945     -0.98421
      1.0472      28.8135    0.0795708    -0.978163
      1.0472      30.1855    0.0337906    -0.976154
      1.0472      31.6228    0.0309579    -0.978247
# Phi[rad]             Energy[keV]    I             Q/I
       1.309     0.316228      1195.25    -0.952982
       1.309     0.331285       1220.1    -0.951512
       1.309      0.34706      1235.25    -0.949709
       1.309     0.363585      1240.67    -0.947572
       1.309     0.380897      1238.71    -0.945205
       1.309     0.399034      1220.62     -0.94223
       1.309     0.418034      1197.15    -0.939122
       1.309      0.43794      1174.55     -0.93536
       1.309     0.458792      1153.77     -0.93182
       1.309     0.480638      1127.39     -0.92352
       1.309     0.503524      1100.69    -0.927718
       1.309       0.5275      1061.15    -0.952975
       1.309     0.552617      1036.35     -0.95472
       1.309      0.57893      1009.99    -0.947782
       1.309     0.606496      1011.53    -0.945829
       1.309     0.635375      993.994    -0.941131
       1.309     0.665629      1021.89    -0.950906
       1.309     0.697324      1030.92    -0.956776
       1.309     0.730527       1097.6    -0.950866
       1.309     0.765312      1175.53    -0.950287
       1.309     0.801753      1299.02    -0.952785
       1.309     0.839929       1438.8    -0.956054
       1.309     0.879923      1571.64    -0.958559
       1.309     0.921821       1689.4    -0.960336
       1.309     0.965714      1825.38     -0.96258
       1.309       1.0117      1908.47    -0.963681
       1.309      1.05987      1992.17     -0.96474
       1.309      1.11034      2077.72    -0.965824
