

#   Phi[rad]  Energy[keV]            I          Q/I
   0.0174533      2.44844      2033.24   -0.0313399
   0.0174533      2.56502      1932.25   -0.0313772
   0.0174533      2.68716      1844.95   -0.0314208
   0.0174533      2.81511      1750.44    -0.031459
   0.0174533      2.94915      1648.91     -0.03149
   0.0174533      3.08958      1540.61     -0.03152
   0.0174533      3.23669      1426.18   -0.0315495
   0.0174533      3.39081      1306.59   -0.0315795
   0.0174533      3.55226       1183.2   -0.0316126
   0.0174533      3.72141      1057.81    -0.031649
   0.0174533       3.8986      932.637   -0.0316947
   0.0174533      4.08424       810.48   -0.0317536
   0.0174533      4.27871      694.688   -0.0318281
   0.0174533      4.48245      591.322   -0.0319125
   0.0174533      4.69588       505.15   -0.0319925
   0.0174533      4.91948      429.434   -0.0320956
   0.0174533      5.15372      364.076   -0.0322299
   0.0174533      5.39912      308.682   -0.0324034
   0.0174533      5.65621      262.527   -0.0326217
   0.0174533      5.92553      224.546   -0.0328843
   0.0174533      6.20768      193.313   -0.0331815
   0.0174533      6.50326      167.032   -0.0334908
   0.0174533      6.81292      142.806   -0.0338346
   0.0174533      7.13732      120.828   -0.0341424
   0.0174533      7.47717      101.388   -0.0343792
   0.0174533       7.8332      84.4927   -0.0345217
   0.0174533      8.20619      70.1427   -0.0345533
   0.0174533      8.59693      57.7661   -0.0345452
   0.0174533      9.00628      47.6823   -0.0346091
   0.0174533      9.43512      40.5366   -0.0344742
   0.0174533      9.88438      34.7355   -0.0342778
   0.0174533       10.355      29.3003   -0.0340553
   0.0174533      10.8481      24.5682   -0.0337759
   0.0174533      11.3646      20.8738   -0.0333651
   0.0174533      11.9058       17.669   -0.0329626
   0.0174533      12.4727      14.9067   -0.0325581
   0.0174533      13.0666      12.5449    -0.032141
   0.0174533      13.6887      10.5489   -0.0316974
   0.0174533      14.3405      8.89887   -0.0311918
   0.0174533      15.0234      7.50457   -0.0306709
   0.0174533      15.7387      6.33781   -0.0301327
   0.0174533      16.4881      5.35268   -0.0295843
   0.0174533      17.2732      4.51663   -0.0290456
   0.0174533      18.0957      3.80904   -0.0285154
   0.0174533      18.9574      3.21374   -0.0279956
   0.0174533        19.86      2.70807   -0.0274924
   0.0174533      20.8057      2.27884   -0.0270015
   0.0174533      21.7964      1.91502   -0.0265198
   0.0174533      22.8342      1.60746   -0.0260451
   0.0174533      23.9215       1.3492   -0.0255761
   0.0174533      25.0605      1.13258   -0.0251142
   0.0174533      26.2538     0.950331   -0.0246614
   0.0174533      27.5039     0.797095   -0.0242182
   0.0174533      28.8135     0.668539    -0.023785
   0.0174533      30.1855     0.560234   -0.0233623
   0.0174533      31.6228     0.469366   -0.0229482
#   Phi[rad]  Energy[keV]            I          Q/I
    0.261799     0.316228      1255.22    -0.954528
    0.261799     0.331285      1285.22    -0.954626
    0.261799      0.34706      1307.81    -0.954638
    0.261799     0.363585      1322.79    -0.954549
    0.261799     0.380897      1331.09    -0.954351
    0.261799     0.399034      1327.71    -0.953941
    0.261799     0.418034      1317.11    -0.953466
    0.261799      0.43794      1301.13    -0.952909
    0.261799     0.458792      1279.54    -0.952252
    0.261799     0.480638      1248.92    -0.951015
    0.261799     0.503524       1212.8    -0.950244
    0.261799       0.5275       1164.3    -0.950066
    0.261799     0.552617       1122.3    -0.948332
    0.261799      0.57893      1074.89    -0.945643
    0.261799     0.606496      1050.69    -0.943148
    0.261799     0.635375      1015.24    -0.941271
    0.261799     0.665629      1028.74    -0.942157
    0.261799     0.697324      1024.91     -0.94041
    0.261799     0.730527      1085.02    -0.941966
    0.261799     0.765312      1168.99    -0.944046
    0.261799     0.801753      1300.86    -0.947981
    0.261799     0.839929      1443.96     -0.95251
    0.261799     0.879923      1575.87    -0.955443
    0.261799     0.921821      1705.82     -0.95779
    0.261799     0.965714       1860.4    -0.960491
    0.261799       1.0117      1963.14     -0.96209
    0.261799      1.05987       2070.3    -0.964194
    0.261799      1.11034       2181.6    -0.965855
    0.261799      1.16321      2289.99    -0.967206
    0.261799      1.21859      2386.17     -0.96835
    0.261799      1.27662      2458.41    -0.969299
    0.261799       1.3374      2487.27    -0.969747
    0.261799      1.40109      2496.79    -0.969856
    0.261799       1.4678      2500.15    -0.969937
    0.261799      1.53769      2497.09    -0.969997
    0.261799      1.61091       2487.2    -0.970017
    0.261799      1.68761         2470    -0.970013
    0.261799      1.76797      2444.93    -0.970001
    0.261799      1.85215      2411.35    -0.969974
    0.261799      1.94034      2368.59    -0.969927
    0.261799      2.03274      2315.94    -0.969848
    0.261799      2.12953      2252.66    -0.969724
    0.261799      2.23092      2178.06    -0.969538
    0.261799      2.33715      2091.48    -0.969267
    0.261799      2.44844      1992.38    -0.968883
    0.261799      2.56502      1892.24    -0.968418
    0.261799      2.68716      1805.95    -0.967968
    0.261799      2.81511      1712.71    -0.967413
    0.261799      2.94915      1612.68    -0.966731
    0.261799      3.08958      1506.26    -0.965896
    0.261799      3.23669      1394.02    -0.964863
    0.261799      3.39081      1276.88    -0.963572
    0.261799      3.55226      1156.15    -0.961955
    0.261799      3.72141      1033.54    -0.959913
    0.261799       3.8986       911.27    -0.957333
    0.261799      4.08424      792.036     -0.95408
    0.261799      4.27871      679.068    -0.950027
    0.261799      4.48245      578.258    -0.945242
    0.261799      4.69588      494.203    -0.940098
    0.261799      4.91948      420.354    -0.934287
    0.261799      5.15372      356.614    -0.927876
    0.261799      5.39912      302.592    -0.921029
    0.261799      5.65621      257.579    -0.914021
    0.261799      5.92553      220.533    -0.907179
    0.261799      6.20768      190.057    -0.900733
    0.261799      6.50326      164.395    -0.894551
    0.261799      6.81292      140.733    -0.887289
    0.261799      7.13732      119.235    -0.878652
    0.261799      7.47717      100.184    -0.868609
    0.261799       7.8332      83.5937    -0.857071
    0.261799      8.20619      69.4749    -0.844227
    0.261799      8.59693      57.2878    -0.829357
    0.261799      9.00628      47.3554    -0.814099
    0.261799      9.43512      40.2879    -0.803567
    0.261799      9.88438      34.5406    -0.794727
    0.261799       10.355      29.1559    -0.783073
    0.261799      10.8481      24.4637    -0.770199
    0.261799      11.3646      20.7894    -0.760194
    0.261799      11.9058      17.6028    -0.749709
    0.261799      12.4727      14.8561    -0.738753
    0.261799      13.0666       12.507     -0.72746
    0.261799      13.6887      10.5204     -0.71623
    0.261799      14.3405      8.87615    -0.706143
    0.261799      15.0234      7.48611    -0.696376
    0.261799      15.7387      6.32185    -0.687429
    0.261799      16.4881      5.33902    -0.678972
    0.261799      17.2732      4.50494    -0.670707
    0.261799      18.0957      3.79906    -0.662716
    0.261799      18.9574      3.20505    -0.655289
    0.261799        19.86      2.70058     -0.64788
    0.261799      20.8057      2.27247    -0.640416
    0.261799      21.7964      1.90966    -0.632864
    0.261799      22.8342        1.603    -0.625273
    0.261799      23.9215      1.34547    -0.617986
    0.261799      25.0605      1.12943    -0.611066
    0.261799      26.2538     0.947663    -0.604306
    0.261799      27.5039      0.79484    -0.597705
    0.261799      28.8135     0.666626    -0.591379
    0.261799      30.1855     0.558626    -0.585016
    0.261799      31.6228     0.468013    -0.578832
#   Phi[rad]  Energy[keV]            I          Q/I
    0.523599     0.316228      1239.57    -0.959274
    0.523599     0.331285      1268.29    -0.958741
    0.523599      0.34706      1289.11     -0.95804
    0.523599     0.363585      1301.95     -0.95718
    0.523599     0.380897       1308.1    -0.956206
    0.523599     0.399034      1302.22    -0.954958
    0.523599     0.418034      1290.15    -0.953693
    0.523599      0.43794      1274.38    -0.952168
    0.523599     0.458792      1254.55    -0.950759
    0.523599     0.480638      1225.95    -0.947189
    0.523599     0.503524      1192.76    -0.948665
    0.523599       0.5275      1147.73    -0.958498
    0.523599     0.552617      1110.22    -0.958142
    0.523599      0.57893      1067.89    -0.953709
    0.523599     0.606496       1048.8    -0.950796
    0.523599     0.635375      1019.15    -0.949252
    0.523599     0.665629      1036.89    -0.951638
    0.523599     0.697324      1038.16    -0.949931
    0.523599     0.730527      1098.55    -0.951191
    0.523599     0.765312      1179.07     -0.95335
    0.523599     0.801753      1303.95    -0.957081
    0.523599     0.839929      1440.53    -0.960948
    0.523599     0.879923      1569.07    -0.963995
    0.523599     0.921821      1693.78     -0.96632
    0.523599     0.965714         1840    -0.969026
    0.523599       1.0117       1937.9    -0.970594
    0.523599      1.05987      2038.93    -0.972578
    0.523599      1.11034      2143.08    -0.974167
    0.523599      1.16321      2243.32    -0.975477
    0.523599      1.21859       2330.4    -0.976593
    0.523599      1.27662      2392.71    -0.977532
    0.523599       1.3374      2415.13    -0.977983
    0.523599      1.40109       2421.5    -0.978093
    0.523599       1.4678      2421.64    -0.978174
    0.523599      1.53769       2415.3    -0.978232
    0.523599      1.61091      2402.09    -0.978251
    0.523599      1.68761      2381.57    -0.978247
    0.523599      1.76797      2353.25    -0.978233
    0.523599      1.85215      2316.58    -0.978206
    0.523599      1.94034      2270.97    -0.978159
    0.523599      2.03274      2215.83    -0.978082
    0.523599      2.12953       2150.6     -0.97796
    0.523599      2.23092      2074.75    -0.977776
    0.523599      2.33715      1987.85    -0.977508
    0.523599      2.44844      1889.58    -0.977127
    0.523599      2.56502       1791.4    -0.976661
    0.523599      2.68716      1707.48    -0.976201
    0.523599      2.81511      1617.33    -0.975634
    0.523599      2.94915      1521.14    -0.974945
    0.523599      3.08958      1419.27      -0.9741
    0.523599      3.23669      1312.32    -0.973051
    0.523599      3.39081      1201.17    -0.971738
    0.523599      3.55226      1087.02    -0.970089
    0.523599      3.72141      971.449    -0.968004
    0.523599       3.8986       856.48    -0.965362
    0.523599      4.08424      744.612    -0.962027
    0.523599      4.27871      638.808    -0.957867
    0.523599      4.48245      544.489    -0.952958
    0.523599      4.69588      465.812    -0.947675
    0.523599      4.91948      396.724    -0.941707
    0.523599      5.15372      337.123    -0.935125
    0.523599      5.39912      286.632    -0.928107
    0.523599      5.65621      244.582    -0.920941
    0.523599      5.92553      209.972    -0.913968
    0.523599      6.20768      181.478    -0.907422
    0.523599      6.50326      157.445    -0.901174
    0.523599      6.81292      135.267    -0.893915
    0.523599      7.13732      115.028     -0.88533
    0.523599      7.47717      96.9936    -0.875373
    0.523599       7.8332      81.1992    -0.863947
    0.523599      8.20619      67.6838    -0.851232
    0.523599      8.59693      55.9985     -0.83661
    0.523599      9.00628      46.4723    -0.821756
    0.523599      9.43512      39.6153    -0.811392
    0.523599      9.88438      34.0072    -0.802639
    0.523599       10.355      28.7586    -0.791229
    0.523599      10.8481      24.1754    -0.778653
    0.523599      11.3646      20.5571    -0.768744
    0.523599      11.9058        17.42      -0.7584
    0.523599      12.4727      14.7156    -0.747628
    0.523599      13.0666      12.4012    -0.736555
    0.523599      13.6887       10.441    -0.725546
    0.523599      14.3405      8.81288    -0.715585
    0.523599      15.0234      7.43487    -0.705917
    0.523599      15.7387      6.27789    -0.696964
    0.523599      16.4881      5.30149    -0.688516
    0.523599      17.2732       4.4729    -0.680257
    0.523599      18.0957      3.77174    -0.672273
    0.523599      18.9574      3.18125    -0.664803
    0.523599        19.86      2.68009    -0.657368
    0.523599      20.8057      2.25506    -0.649904
    0.523599      21.7964      1.89505    -0.642378
    0.523599      22.8342      1.59084    -0.634833
    0.523599      23.9215      1.33528    -0.627576
    0.523599      25.0605      1.12081    -0.620661
    0.523599      26.2538     0.940385    -0.613904
    0.523599      27.5039     0.788691    -0.607304
    0.523599      28.8135     0.661411    -0.600967
    0.523599      30.1855     0.554242    -0.594614
    0.523599      31.6228     0.464324    -0.588436
#   Phi[rad]  Energy[keV]            I          Q/I
    0.785398     0.316228      1221.26     -0.94741
    0.785398     0.331285      1248.23    -0.946108
    0.785398      0.34706      1266.82    -0.944549
    0.785398     0.363585      1277.08    -0.942764
    0.785398     0.380897       1280.6    -0.940859
    0.785398     0.399034      1271.62    -0.938618
    0.785398     0.418034      1257.31     -0.93644
    0.785398      0.43794      1241.19    -0.933702
    0.785398     0.458792      1222.38    -0.931347
    0.785398     0.480638      1195.41    -0.924158
    0.785398     0.503524      1165.88     -0.92935
    0.785398       0.5275      1126.19    -0.955169
    0.785398     0.552617      1094.95    -0.956751
    0.785398      0.57893      1059.65    -0.949088
    0.785398     0.606496      1047.79    -0.944997
    0.785398     0.635375      1026.76    -0.942947
    0.785398     0.665629       1050.2    -0.946454
    0.785398     0.697324      1057.61    -0.944012
    0.785398     0.730527      1117.39    -0.944512
    0.785398     0.765312      1193.23     -0.94573
    0.785398     0.801753      1309.72    -0.948562
    0.785398     0.839929      1439.03    -0.952813
    0.785398     0.879923      1562.09    -0.956297
    0.785398     0.921821      1678.94     -0.95877
    0.785398     0.965714      1814.77    -0.961718
    0.785398       1.0117      1906.07    -0.963373
    0.785398      1.05987      1999.29    -0.965293
    0.785398      1.11034      2094.29    -0.966887
    0.785398      1.16321      2184.03    -0.968239
    0.785398      1.21859      2259.28    -0.969406
    0.785398      1.27662      2308.47    -0.970405
    0.785398       1.3374      2322.21    -0.970905
    0.785398      1.40109      2324.25    -0.971054
    0.785398       1.4678      2319.96    -0.971169
    0.785398      1.53769      2309.09    -0.971261
    0.785398      1.61091      2291.28    -0.971311
    0.785398      1.68761      2266.14    -0.971338
    0.785398      1.76797      2233.26    -0.971356
    0.785398      1.85215       2192.2     -0.97136
    0.785398      1.94034      2142.49    -0.971344
    0.785398      2.03274      2083.73    -0.971298
    0.785398      2.12953      2015.55     -0.97121
    0.785398      2.23092      1937.69    -0.971057
    0.785398      2.33715      1849.97    -0.970815
